# Bandpower weights for C of clustering in Fourier space
# lowest theta boundary = 0.5
# highest theta boundary = 300
# apodization beand width = 0.5
# minimum multipole = 100
# maximum multipole = 1500
# number of bandpowers modes = 8
# binning type for multipoles = log
# ell      W(ell)
1.000000000000000000e+00 -1.863004887412275309e-02
1.000921550516792990e+00 -1.862981093380717754e-02
1.001843950288941132e+00 -1.862957255553953154e-02
1.002767200099075939e+00 -1.862933373853788849e-02
1.003691300730550351e+00 -1.862909448202858254e-02
1.004616252967439172e+00 -1.862885478515965976e-02
1.005542057594539962e+00 -1.862861464714097096e-02
1.006468715397373481e+00 -1.862837406712880908e-02
1.007396227162183910e+00 -1.862813304436601244e-02
1.008324593675940628e+00 -1.862789157801713821e-02
1.009253815726337766e+00 -1.862764966726319221e-02
1.010183894101795765e+00 -1.862740731127283944e-02
1.011114829591461151e+00 -1.862716450922302647e-02
1.012046622985208311e+00 -1.862692126035659160e-02
1.012979275073639052e+00 -1.862667756379277409e-02
1.013912786648083708e+00 -1.862643341872085787e-02
1.014847158500602253e+00 -1.862618882432602943e-02
1.015782391423984521e+00 -1.862594377978522148e-02
1.016718486211750649e+00 -1.862569828427126581e-02
1.017655443658151970e+00 -1.862545233693636490e-02
1.018593264558172340e+00 -1.862520593696572607e-02
1.019531949707527918e+00 -1.862495908352805249e-02
1.020471499902667833e+00 -1.862471177579620371e-02
1.021411915940775739e+00 -1.862446401293064643e-02
1.022353198619769588e+00 -1.862421579408363517e-02
1.023295348738302746e+00 -1.862396711844860678e-02
1.024238367095764435e+00 -1.862371798513250132e-02
1.025182254492280620e+00 -1.862346839333703027e-02
1.026127011728715122e+00 -1.862321834224329314e-02
1.027072639606668947e+00 -1.862296783093349631e-02
1.028019138928482512e+00 -1.862271685862998058e-02
1.028966510497235198e+00 -1.862246542446440584e-02
1.029914755116746683e+00 -1.862221352755608766e-02
1.030863873591577384e+00 -1.862196116709852536e-02
1.031813866727028906e+00 -1.862170834223163610e-02
1.032764735329145367e+00 -1.862145505209947954e-02
1.033716480204713628e+00 -1.862120129584199021e-02
1.034669102161263732e+00 -1.862094707257849410e-02
1.035622602007070236e+00 -1.862069238151489378e-02
1.036576980551152438e+00 -1.862043722172518345e-02
1.037532238603275037e+00 -1.862018159240702228e-02
1.038488376973949467e+00 -1.861992549265502339e-02
1.039445396474433236e+00 -1.861966892163802179e-02
1.040403297916732361e+00 -1.861941187845475576e-02
1.041362082113600707e+00 -1.861915436224934051e-02
1.042321749878541315e+00 -1.861889637217409646e-02
1.043282302025806407e+00 -1.861863790733605736e-02
1.044243739370399382e+00 -1.861837896687931759e-02
1.045206062728074148e+00 -1.861811954989443102e-02
1.046169272915336235e+00 -1.861785965557907763e-02
