# Bandpower weights for C of ggl in Fourier space
# lowest theta boundary = 0.5
# highest theta boundary = 300
# apodization beand width = 0.5
# minimum multipole = 100
# maximum multipole = 1500
# number of bandpowers modes = 8
# binning type for multipoles = log
# ell      W(ell)
1.000000000000000000e+00 1.072755099221541217e-07
1.000921550516792990e+00 1.074856167470361919e-07
1.001843950288941132e+00 1.076961563618832301e-07
1.002767200099075939e+00 1.079071297337309279e-07
1.003691300730550351e+00 1.081185378281904924e-07
1.004616252967439172e+00 1.083303816192349077e-07
1.005542057594539962e+00 1.085426620741300200e-07
1.006468715397373481e+00 1.087553801717105973e-07
1.007396227162183910e+00 1.089685368915020700e-07
1.008324593675940628e+00 1.091821332107559691e-07
1.009253815726337766e+00 1.093961701071769617e-07
1.010183894101795765e+00 1.096106485707881945e-07
1.011114829591461151e+00 1.098255695911820317e-07
1.012046622985208311e+00 1.100409341492317846e-07
1.012979275073639052e+00 1.102567432469660480e-07
1.013912786648083708e+00 1.104729978704028262e-07
1.014847158500602253e+00 1.106896990212196582e-07
1.015782391423984521e+00 1.109068477029459884e-07
1.016718486211750649e+00 1.111244449091321278e-07
1.017655443658151970e+00 1.113424916480732986e-07
1.018593264558172340e+00 1.115609889279485340e-07
1.019531949707527918e+00 1.117799377544041328e-07
1.020471499902667833e+00 1.119993391461569592e-07
1.021411915940775739e+00 1.122191941141334771e-07
1.022353198619769588e+00 1.124395036719503537e-07
1.023295348738302746e+00 1.126602688469771857e-07
1.024238367095764435e+00 1.128814906529572056e-07
1.025182254492280620e+00 1.131031701201992940e-07
1.026127011728715122e+00 1.133253082747734477e-07
1.027072639606668947e+00 1.135479061491840437e-07
1.028019138928482512e+00 1.137709647704419206e-07
1.028966510497235198e+00 1.139944851761694004e-07
1.029914755116746683e+00 1.142184684067363947e-07
1.030863873591577384e+00 1.144429154980249167e-07
1.031813866727028906e+00 1.146678274929685821e-07
1.032764735329145367e+00 1.148932054430357897e-07
1.033716480204713628e+00 1.151190503864786703e-07
1.034669102161263732e+00 1.153453633846415505e-07
1.035622602007070236e+00 1.155721454862432941e-07
1.036576980551152438e+00 1.157993977469442397e-07
1.037532238603275037e+00 1.160271212227036225e-07
1.038488376973949467e+00 1.162553169810530008e-07
1.039445396474433236e+00 1.164839860811140206e-07
1.040403297916732361e+00 1.167131295909855669e-07
1.041362082113600707e+00 1.169427485826429049e-07
1.042321749878541315e+00 1.171728441233572757e-07
1.043282302025806407e+00 1.174034172903151426e-07
1.044243739370399382e+00 1.176344691606993161e-07
1.045206062728074148e+00 1.178660008148495513e-07
1.046169272915336235e+00 1.180980133369702707e-07
1.047133370749444348e+00 1.183305078113020809e-07
1.048098357048409923e+00 1.185634853242291642e-07
1.049064232630997795e+00 1.187969469714679016e-07
1.050030998316727970e+00 1.190308938423215097e-07
1.050998654925875408e+00 1.192653270362625901e-07
1.051967203279471130e+00 1.195002476503380539e-07
1.052936644199302663e+00 1.197356567895051732e-07
1.053906978507914927e+00 1.199715555549678188e-07
1.054878207028610682e+00 1.202079450588990704e-07
1.055850330585451635e+00 1.204448264088674309e-07
1.056823350003258666e+00 1.206822007185417872e-07
1.057797266107613154e+00 1.209200691039678273e-07
1.058772079724856763e+00 1.211584326859454232e-07
1.059747791682093432e+00 1.213972925823477100e-07
1.060724402807188271e+00 1.216366499231561322e-07
1.061701913928770225e+00 1.218765058317534037e-07
1.062680325876231402e+00 1.221168614366345850e-07
1.063659639479728414e+00 1.223577178772798539e-07
1.064639855570182814e+00 1.225990762869570899e-07
1.065620974979281987e+00 1.228409378021129283e-07
1.066602998539479819e+00 1.230833035669043865e-07
1.067585927083996689e+00 1.233261747273537807e-07
1.068569761446821920e+00 1.235695524243848447e-07
1.069554502462712664e+00 1.238134378192089956e-07
1.070540150967195681e+00 1.240578320548751727e-07
1.071526707796567113e+00 1.243027362945816941e-07
1.072514173787894487e+00 1.245481516952125119e-07
1.073502549779016713e+00 1.247940794197563299e-07
1.074491836608544082e+00 1.250405206318237331e-07
1.075482035115860713e+00 1.252874765011464427e-07
1.076473146141123216e+00 1.255349481971487337e-07
1.077465170525263582e+00 1.257829369004128195e-07
1.078458109109987628e+00 1.260314437767514383e-07
1.079451962737777437e+00 1.262804700125275916e-07
1.080446732251891806e+00 1.265300167898894450e-07
1.081442418496365798e+00 1.267800852997998389e-07
1.082439022316013189e+00 1.270306767258647886e-07
1.083436544556425352e+00 1.272817922593075441e-07
1.084434986063973705e+00 1.275334330988343093e-07
1.085434347685809486e+00 1.277856004397191106e-07
1.086434630269864199e+00 1.280382954868892912e-07
1.087435834664851386e+00 1.282915194428621474e-07
1.088437961720265967e+00 1.285452735152516257e-07
1.089441012286386457e+00 1.287995589156750679e-07
1.090444987214274519e+00 1.290543768544472908e-07
1.091449887355776305e+00 1.293097285479253945e-07
1.092455713563522668e+00 1.295656152202011072e-07
1.093462466690930723e+00 1.298220380926433699e-07
1.094470147592203402e+00 1.300789983897318522e-07
1.095478757122331670e+00 1.303364973433705201e-07
1.096488296137093421e+00 1.305945361810663389e-07
1.097498765493056139e+00 1.308531161445636800e-07
1.098510166047576009e+00 1.311122384695049160e-07
1.099522498658799474e+00 1.313719043993832767e-07
1.100535764185664123e+00 1.316321151760475038e-07
