# Bandpower weights for C_B in Fourier space
# lowest theta boundary = 0.5
# highest theta boundary = 300
# apodization beand width = 0.5
# minimum multipole = 100
# maximum multipole = 1500
# number of bandpowers modes = 8
# binning type for multipoles = log
# ell      W(ell)
1.000000000000000000e+00 -2.725744708980430975e-01
1.000921550516792990e+00 -2.725697624982438838e-01
1.001843950288941132e+00 -2.725650454267525280e-01
1.002767200099075939e+00 -2.725603196676001372e-01
1.003691300730550351e+00 -2.725555852048134886e-01
1.004616252967439172e+00 -2.725508420223864414e-01
1.005542057594539962e+00 -2.725460901042826567e-01
1.006468715397373481e+00 -2.725413294344113946e-01
1.007396227162183910e+00 -2.725365599966969032e-01
1.008324593675940628e+00 -2.725317817749987603e-01
1.009253815726337766e+00 -2.725269947531547277e-01
1.010183894101795765e+00 -2.725221989149899104e-01
1.011114829591461151e+00 -2.725173942442893349e-01
1.012046622985208311e+00 -2.725125807247822940e-01
1.012979275073639052e+00 -2.725077583402122361e-01
1.013912786648083708e+00 -2.725029270742732601e-01
1.014847158500602253e+00 -2.724980869106181092e-01
1.015782391423984521e+00 -2.724932378328899785e-01
1.016718486211750649e+00 -2.724883798246807154e-01
1.017655443658151970e+00 -2.724835128695746178e-01
1.018593264558172340e+00 -2.724786369511086881e-01
1.019531949707527918e+00 -2.724737520527970025e-01
1.020471499902667833e+00 -2.724688581581217739e-01
1.021411915940775739e+00 -2.724639552505298545e-01
1.022353198619769588e+00 -2.724590433134588263e-01
1.023295348738302746e+00 -2.724541223302834325e-01
1.024238367095764435e+00 -2.724491922843637060e-01
1.025182254492280620e+00 -2.724442531590597905e-01
1.026127011728715122e+00 -2.724393049376336307e-01
1.027072639606668947e+00 -2.724343476033802003e-01
1.028019138928482512e+00 -2.724293811395169240e-01
1.028966510497235198e+00 -2.724244055292726618e-01
1.029914755116746683e+00 -2.724194207558078840e-01
1.030863873591577384e+00 -2.724144268022782867e-01
1.031813866727028906e+00 -2.724094236518028178e-01
1.032764735329145367e+00 -2.724044112874493551e-01
1.033716480204713628e+00 -2.723993896922820013e-01
1.034669102161263732e+00 -2.723943588493282220e-01
1.035622602007070236e+00 -2.723893187415769579e-01
1.036576980551152438e+00 -2.723842693519757940e-01
1.037532238603275037e+00 -2.723792106634632115e-01
1.038488376973949467e+00 -2.723741426589409986e-01
1.039445396474433236e+00 -2.723690653212620383e-01
1.040403297916732361e+00 -2.723639786332672785e-01
1.041362082113600707e+00 -2.723588825777585876e-01
1.042321749878541315e+00 -2.723537771375182936e-01
1.043282302025806407e+00 -2.723486622952592251e-01
1.044243739370399382e+00 -2.723435380337212441e-01
1.045206062728074148e+00 -2.723384043355623896e-01
1.046169272915336235e+00 -2.723332611834408667e-01
1.047133370749444348e+00 -2.723281085599467133e-01
1.048098357048409923e+00 -2.723229464476727424e-01
1.049064232630997795e+00 -2.723177748291789602e-01
1.050030998316727970e+00 -2.723125936869622010e-01
1.050998654925875408e+00 -2.723074030035275706e-01
1.051967203279471130e+00 -2.723022027613057894e-01
1.052936644199302663e+00 -2.722969929427347391e-01
1.053906978507914927e+00 -2.722917735302006204e-01
1.054878207028610682e+00 -2.722865445060452805e-01
1.055850330585451635e+00 -2.722813058526165064e-01
1.056823350003258666e+00 -2.722760575521858684e-01
1.057797266107613154e+00 -2.722707995870196074e-01
1.058772079724856763e+00 -2.722655319393416096e-01
1.059747791682093432e+00 -2.722602545913437866e-01
1.060724402807188271e+00 -2.722549675251929036e-01
1.061701913928770225e+00 -2.722496707230169233e-01
1.062680325876231402e+00 -2.722443641669010095e-01
1.063659639479728414e+00 -2.722390478389120072e-01
1.064639855570182814e+00 -2.722337217210926696e-01
1.065620974979281987e+00 -2.722283857954302944e-01
1.066602998539479819e+00 -2.722230400438828135e-01
1.067585927083996689e+00 -2.722176844483857328e-01
1.068569761446821920e+00 -2.722123189908402519e-01
1.069554502462712664e+00 -2.722069436531094344e-01
1.070540150967195681e+00 -2.722015584170220936e-01
1.071526707796567113e+00 -2.721961632643605800e-01
1.072514173787894487e+00 -2.721907581769248408e-01
1.073502549779016713e+00 -2.721853431364175124e-01
1.074491836608544082e+00 -2.721799181245497801e-01
1.075482035115860713e+00 -2.721744831229713779e-01
1.076473146141123216e+00 -2.721690381133241576e-01
1.077465170525263582e+00 -2.721635830772011211e-01
1.078458109109987628e+00 -2.721581179961675701e-01
1.079451962737777437e+00 -2.721526428517461182e-01
1.080446732251891806e+00 -2.721471576254389513e-01
1.081442418496365798e+00 -2.721416622987047340e-01
1.082439022316013189e+00 -2.721361568529742092e-01
1.083436544556425352e+00 -2.721306412696324895e-01
1.084434986063973705e+00 -2.721251155300443147e-01
1.085434347685809486e+00 -2.721195796155265190e-01
1.086434630269864199e+00 -2.721140335073827243e-01
1.087435834664851386e+00 -2.721084771868625962e-01
1.088437961720265967e+00 -2.721029106351910420e-01
1.089441012286386457e+00 -2.720973338335404557e-01
1.090444987214274519e+00 -2.720917467630817321e-01
1.091449887355776305e+00 -2.720861494049396367e-01
1.092455713563522668e+00 -2.720805417401735427e-01
1.093462466690930723e+00 -2.720749237498419904e-01
1.094470147592203402e+00 -2.720692954149701581e-01
1.095478757122331670e+00 -2.720636567165254927e-01
1.096488296137093421e+00 -2.720580076354713328e-01
1.097498765493056139e+00 -2.720523481526871401e-01
1.098510166047576009e+00 -2.720466782490698621e-01
1.099522498658799474e+00 -2.720409979054527194e-01
1.100535764185664123e+00 -2.720353071026302416e-01
1.101549963487898687e+00 -2.720296058213897972e-01
1.102565097426024154e+00 -2.720238940424599128e-01
1.103581166861355101e+00 -2.720181717465360305e-01
1.104598172655999244e+00 -2.720124389142793975e-01
1.105616115672859001e+00 -2.720066955263274466e-01
1.106634996775632152e+00 -2.720009415632669847e-01
1.107654816828812061e+00 -2.719951770056516227e-01
1.108675576697688792e+00 -2.719894018340030528e-01
1.109697277248350433e+00 -2.719836160288098270e-01
1.110719919347682438e+00 -2.719778195705261914e-01
1.111743503863369620e+00 -2.719720124395590410e-01
1.112768031663896373e+00 -2.719661946162863497e-01
1.113793503618546898e+00 -2.719603660810577250e-01
1.114819920597407199e+00 -2.719545268141663752e-01
1.115847283471365081e+00 -2.719486767958950169e-01
1.116875593112110154e+00 -2.719428160064693567e-01
1.117904850392136051e+00 -2.719369444260933966e-01
1.118935056184740429e+00 -2.719310620349287833e-01
1.119966211364025410e+00 -2.719251688130877587e-01
1.120998316804898698e+00 -2.719192647406614149e-01
1.122031373383074238e+00 -2.719133497977223590e-01
1.123065381975073551e+00 -2.719074239642586543e-01
1.124100343458225071e+00 -2.719014872202642485e-01
1.125136258710666137e+00 -2.718955395456846280e-01
1.126173128611343666e+00 -2.718895809204197045e-01
1.127210954040013702e+00 -2.718836113243259800e-01
1.128249735877244087e+00 -2.718776307372536838e-01
1.129289475004413346e+00 -2.718716391389982001e-01
1.130330172303712688e+00 -2.718656365092993465e-01
1.131371828658146006e+00 -2.718596228278862270e-01
1.132414444951530985e+00 -2.718535980744496428e-01
1.133458022068499993e+00 -2.718475622286238846e-01
1.134502560894500300e+00 -2.718415152700222603e-01
1.135548062315795637e+00 -2.718354571782239382e-01
1.136594527219466189e+00 -2.718293879327480789e-01
1.137641956493409490e+00 -2.718233075131016863e-01
1.138690351026341308e+00 -2.718172158987376408e-01
1.139739711707796976e+00 -2.718111130690862298e-01
1.140790039428130731e+00 -2.718049990035228403e-01
1.141841335078518149e+00 -2.717988736813970463e-01
1.142893599550955486e+00 -2.717927370820097943e-01
1.143946833738261004e+00 -2.717865891846422688e-01
1.145001038534076310e+00 -2.717804299685251390e-01
1.146056214832865905e+00 -2.717742594128413347e-01
1.147112363529918966e+00 -2.717680774967500268e-01
1.148169485521349786e+00 -2.717618841993824641e-01
1.149227581704098000e+00 -2.717556794997964542e-01
1.150286652975930135e+00 -2.717494633770456414e-01
1.151346700235440279e+00 -2.717432358101380951e-01
1.152407724382050080e+00 -2.717369967780292606e-01
1.153469726316010746e+00 -2.717307462596443846e-01
1.154532706938402375e+00 -2.717244842338736865e-01
1.155596667151135959e+00 -2.717182106795639207e-01
1.156661607856953378e+00 -2.717119255755295337e-01
1.157727529959428514e+00 -2.717056289005346792e-01
1.158794434362968140e+00 -2.716993206333152000e-01
1.159862321972812360e+00 -2.716930007525514279e-01
1.160931193695035057e+00 -2.716866692369230840e-01
1.162001050436545890e+00 -2.716803260650176299e-01
1.163071893105089849e+00 -2.716739712154340736e-01
1.164143722609248366e+00 -2.716676046666913202e-01
1.165216539858440203e+00 -2.716612263972904562e-01
1.166290345762922565e+00 -2.716548363857014814e-01
1.167365141233791093e+00 -2.716484346103138492e-01
1.168440927182981204e+00 -2.716420210495467669e-01
1.169517704523268975e+00 -2.716355956817027018e-01
1.170595474168270922e+00 -2.716291584850986651e-01
1.171674237032446220e+00 -2.716227094379934370e-01
1.172753994031096703e+00 -2.716162485185935060e-01
1.173834746080367086e+00 -2.716097757050974226e-01
1.174916494097247188e+00 -2.716032909756422864e-01
1.175999238999571039e+00 -2.715967943083121838e-01
1.177082981706019327e+00 -2.715902856811754917e-01
1.178167723136118727e+00 -2.715837650722677243e-01
1.179253464210243685e+00 -2.715772324595467357e-01
1.180340205849616630e+00 -2.715706878209588893e-01
1.181427948976309095e+00 -2.715641311343968689e-01
1.182516694513241928e+00 -2.715575623777242709e-01
1.183606443384187079e+00 -2.715509815287622253e-01
1.184697196513767148e+00 -2.715443885652835121e-01
1.185788954827457831e+00 -2.715377834650138933e-01
1.186881719251586365e+00 -2.715311662056701381e-01
1.187975490713335081e+00 -2.715245367648933539e-01
1.189070270140739405e+00 -2.715178951203050528e-01
1.190166058462690746e+00 -2.715112412494666838e-01
1.191262856608936493e+00 -2.715045751299126620e-01
1.192360665510080908e+00 -2.714978967391392661e-01
