# Bandpower weights for C_E in Fourier space
# lowest theta boundary = 0.5
# highest theta boundary = 300
# apodization beand width = 0.5
# minimum multipole = 100
# maximum multipole = 1500
# number of bandpowers modes = 8
# binning type for multipoles = log
# ell      W(ell)
1.000000000000000000e+00 -1.460501840554698783e-01
1.000921550516792990e+00 -1.460501229474412688e-01
1.001843950288941132e+00 -1.460500617254654743e-01
1.002767200099075939e+00 -1.460500003893180354e-01
1.003691300730550351e+00 -1.460499389387641123e-01
1.004616252967439172e+00 -1.460498773736121914e-01
1.005542057594539962e+00 -1.460498156936398118e-01
1.006468715397373481e+00 -1.460497538986308130e-01
1.007396227162183910e+00 -1.460496919883584876e-01
1.008324593675940628e+00 -1.460496299626211913e-01
1.009253815726337766e+00 -1.460495678211901072e-01
1.010183894101795765e+00 -1.460495055638510731e-01
1.011114829591461151e+00 -1.460494431903960055e-01
1.012046622985208311e+00 -1.460493807005839029e-01
1.012979275073639052e+00 -1.460493180942089020e-01
1.013912786648083708e+00 -1.460492553710482089e-01
1.014847158500602253e+00 -1.460491925308857741e-01
1.015782391423984521e+00 -1.460491295734927808e-01
1.016718486211750649e+00 -1.460490664986528742e-01
1.017655443658151970e+00 -1.460490033061394577e-01
1.018593264558172340e+00 -1.460489399957403400e-01
1.019531949707527918e+00 -1.460488765672328937e-01
1.020471499902667833e+00 -1.460488130203904389e-01
1.021411915940775739e+00 -1.460487493549761095e-01
1.022353198619769588e+00 -1.460486855707837928e-01
1.023295348738302746e+00 -1.460486216675867255e-01
1.024238367095764435e+00 -1.460485576451562018e-01
1.025182254492280620e+00 -1.460484935032799192e-01
1.026127011728715122e+00 -1.460484292416960872e-01
1.027072639606668947e+00 -1.460483648602254880e-01
1.028019138928482512e+00 -1.460483003586083572e-01
1.028966510497235198e+00 -1.460482357366303385e-01
1.029914755116746683e+00 -1.460481709940728845e-01
1.030863873591577384e+00 -1.460481061306969086e-01
1.031813866727028906e+00 -1.460480411462654338e-01
1.032764735329145367e+00 -1.460479760405741234e-01
1.033716480204713628e+00 -1.460479108133696802e-01
1.034669102161263732e+00 -1.460478454644477952e-01
1.035622602007070236e+00 -1.460477799935591403e-01
1.036576980551152438e+00 -1.460477144004788674e-01
1.037532238603275037e+00 -1.460476486849761057e-01
1.038488376973949467e+00 -1.460475828468218995e-01
1.039445396474433236e+00 -1.460475168857813255e-01
1.040403297916732361e+00 -1.460474508016233186e-01
1.041362082113600707e+00 -1.460473845941251958e-01
1.042321749878541315e+00 -1.460473182630311895e-01
1.043282302025806407e+00 -1.460472518081186721e-01
1.044243739370399382e+00 -1.460471852291669037e-01
1.045206062728074148e+00 -1.460471185259345495e-01
1.046169272915336235e+00 -1.460470516981700606e-01
1.047133370749444348e+00 -1.460469847456691839e-01
