# Bandpower weights for C of clustering Fourier space
# lowest theta boundary = 0.5
# highest theta boundary = 300
# apodization beand width = 0.5
# minimum multipole = 100
# maximum multipole = 1500
# number of bandpowers modes = 8
# binning type for multipoles = log
# theta[arcmin]      R(theta)
3.895346980473423093e-01 1.554097414037195923e+00
3.898034500559438009e-01 1.398680578362345983e+01
3.900723874848493478e-01 3.885191952135560456e+01
3.903415104619860077e-01 7.614889894551856742e+01
3.906108191153692677e-01 1.258769707190583631e+02
3.908803135731029332e-01 1.880351278646264177e+02
3.911499939633792389e-01 2.626221297838652049e+02
3.914198604144786819e-01 3.496365022812054804e+02
3.916899130547703556e-01 4.490765375920560700e+02
3.919601520127119487e-01 5.609402944153409862e+02
3.922305774168498016e-01 6.852255979503838716e+02
3.925011893958187947e-01 8.219300399383462263e+02
3.927719880783428485e-01 9.710509787078963200e+02
3.930429735932343127e-01 1.132585539225222874e+03
3.933141460693946323e-01 1.306530613148675229e+03
3.935855056358142923e-01 1.492882858887656084e+03
3.938570524215724844e-01 1.691638701665639474e+03
3.941287865558377179e-01 1.902794333588174140e+03
3.944007081678674864e-01 2.126345713714605154e+03
3.946728173870084344e-01 2.362288568134609704e+03
3.949451143426964683e-01 2.610618390049061418e+03
3.952175991644569231e-01 2.871330439855213172e+03
3.954902719819043955e-01 3.144419745235995833e+03
3.957631329247428553e-01 3.429881101254171881e+03
3.960361821227658119e-01 3.727709070450499439e+03
3.963094197058563140e-01 4.037897982946556112e+03
3.965828458039871718e-01 4.360441936551817889e+03
3.968564605472205131e-01 4.695334796874521999e+03
3.971302640657086158e-01 5.042570197438250034e+03
3.974042564896931862e-01 5.402141539801358704e+03
3.976784379495060251e-01 5.774041993681866188e+03
3.979528085755688060e-01 6.158264497086211122e+03
3.982273684983931861e-01 6.554801756442506303e+03
3.985021178485808058e-01 6.963646246737783258e+03
3.987770567568234559e-01 7.384790211660545538e+03
3.990521853539030217e-01 7.818225663745969541e+03
3.993275037706917052e-01 8.263944384527887451e+03
3.996030121381521361e-01 8.721937924692882007e+03
3.998787105873369829e-01 9.192197604239219800e+03
4.001545992493895088e-01 9.674714512641367037e+03
4.004306782555434596e-01 1.016947950901743570e+04
4.007069477371231758e-01 1.067648322230173108e+04
4.009834078255434253e-01 1.119571605142085536e+04
4.012600586523097368e-01 1.172716816547535382e+04
4.015369003490185662e-01 1.227082950392456405e+04
4.018139330473567417e-01 1.282668977677582370e+04
4.020911568791022961e-01 1.339473846477938241e+04
4.023685719761240787e-01 1.397496481962568396e+04
4.026461784703819213e-01 1.456735786414836730e+04
4.029239764939266388e-01 1.517190639253073641e+04
4.032019661789001397e-01 1.578859897051682856e+04
4.034801476575356483e-01 1.641742393562753932e+04
4.037585210621574827e-01 1.705836939737934517e+04
4.040370865251814436e-01 1.771142323750917058e+04
4.043158441791143143e-01 1.837657311020158158e+04
4.045947941565546380e-01 1.905380644232238774e+04
4.048739365901924403e-01 1.974311043365511432e+04
4.051532716128090628e-01 2.044447205714164738e+04
4.054327993572776068e-01 2.115787805912793192e+04
4.057125199565628226e-01 2.188331495961381734e+04
4.059924335437211651e-01 2.262076905250637355e+04
4.062725402519010709e-01 2.337022640587889691e+04
4.065528402143425701e-01 2.413167286223183328e+04
4.068333335643777859e-01 2.490509403876064243e+04
4.071140204354307124e-01 2.569047532762585979e+04
4.073949009610175476e-01 2.648780189622897524e+04
4.076759752747465271e-01 2.729705868749094952e+04
4.079572435103180350e-01 2.811823042013617669e+04
4.082387058015247705e-01 2.895130158897969523e+04
4.085203622822516922e-01 2.979625646521974340e+04
4.088022130864761294e-01 3.065307909673354152e+04
4.090842583482678374e-01 3.152175330837756337e+04
4.093664982017891085e-01 3.240226270229255169e+04
4.096489327812948278e-01 3.329459065821161494e+04
4.099315622211324173e-01 3.419872033377330081e+04
4.102143866557421137e-01 3.511463466483930824e+04
4.104974062196566909e-01 3.604231636581420753e+04
4.107806210475019593e-01 3.698174792997283657e+04
4.110640312739964886e-01 3.793291162978790817e+04
4.113476370339519406e-01 3.889578951726559171e+04
4.116314384622727363e-01 3.987036342428148782e+04
4.119154356939565553e-01 4.085661496292430820e+04
4.121996288640942807e-01 4.185452552584114164e+04
4.124840181078698320e-01 4.286407628658741305e+04
4.127686035605604431e-01 4.388524819998215389e+04
4.130533853575367176e-01 4.491802200246560824e+04
4.133383636342626288e-01 4.596237821246236126e+04
4.136235385262956865e-01 4.701829713074819301e+04
4.139089101692867145e-01 4.808575884081959521e+04
4.141944786989804062e-01 4.916474320927105146e+04
4.144802442512148799e-01 5.025522988617110968e+04
4.147662069619221237e-01 5.135719830544780416e+04
4.150523669671278282e-01 5.247062768527400476e+04
4.153387244029515535e-01 5.359549702845961292e+04
4.156252794056068955e-01 5.473178512284716999e+04
4.159120321114011531e-01 5.587947054170840420e+04
4.161989826567357720e-01 5.703853164415067295e+04
4.164861311781065112e-01 5.820894657552322315e+04
4.167734778121031103e-01 5.939069326782772987e+04
4.170610226954095667e-01 6.058374944013411005e+04
4.173487659648041914e-01 6.178809259899995959e+04
4.176367077571596087e-01 6.300370003889328655e+04
4.179248482094430339e-01 6.423054884262150154e+04
4.182131874587161069e-01 6.546861588176016812e+04
4.185017256421348919e-01 6.671787781709001865e+04
4.187904628969501553e-01 6.797831109903540346e+04
4.190793993605075873e-01 6.924989196810833528e+04
4.193685351702473585e-01 7.053259645535527670e+04
4.196578704637044521e-01 7.182640038280612498e+04
4.199474053785089978e-01 7.313127936393333948e+04
4.202371400523858824e-01 7.444720880410693644e+04
4.205270746231549728e-01 7.577416390105891332e+04
4.208172092287313926e-01 7.711211964535086008e+04
4.211075440071251896e-01 7.846105082084248716e+04
4.213980790964418910e-01 7.982093200516808429e+04
4.216888146348822808e-01 8.119173757021423080e+04
4.219797507607421783e-01 8.257344168260061997e+04
4.222708876124131594e-01 8.396601830416884331e+04
4.225622253283820573e-01 8.536944119246929768e+04
4.228537640472314618e-01 8.678368390125877340e+04
4.231455039076395530e-01 8.820871978099471016e+04
4.234374450483798236e-01 8.964452197933601565e+04
4.237295876083219115e-01 9.109106344165369228e+04
4.240219317264312116e-01 9.254831691153396969e+04
4.243144775417688197e-01 9.401625493129371898e+04
4.246072251934919772e-01 9.549484984249799163e+04
4.249001748208537932e-01 9.698407378647843143e+04
4.251933265632034664e-01 9.848389870485787105e+04
4.254866805599863966e-01 9.999429634008031280e+04
4.257802369507440732e-01 1.015152382359393960e+05
4.260739958751145195e-01 1.030466957381168322e+05
4.263679574728317379e-01 1.045886399947188329e+05
4.266621218837263751e-01 1.061410419568210782e+05
4.269564892477256124e-01 1.077038723790152580e+05
4.272510597048529424e-01 1.092771018199570681e+05
4.275458333952286694e-01 1.108607006429219764e+05
4.278408104590695760e-01 1.124546390163623000e+05
4.281359910366893673e-01 1.140588869144696073e+05
4.284313752684984489e-01 1.156734141177380079e+05
4.287269632950042042e-01 1.172981902135334822e+05
4.290227552568107727e-01 1.189331845966650726e+05
4.293187512946194384e-01 1.205783664699634392e+05
4.296149515492285742e-01 1.222337048448563437e+05
4.299113561615336421e-01 1.238991685419553105e+05
4.302079652725273040e-01 1.255747261916401621e+05
