# Bandpower weights for C of ggl in Fourier space
# lowest theta boundary = 0.5
# highest theta boundary = 300
# apodization beand width = 0.5
# minimum multipole = 100
# maximum multipole = 1500
# number of bandpowers modes = 8
# binning type for multipoles = log
# theta[arcmin]      R(theta)
3.895346980473423093e-01 3.766652719456874311e-05
3.898034500559438009e-01 3.394655925046111871e-04
3.900723874848493478e-01 9.442555811495311315e-04
3.903415104619860077e-01 1.853278043207838869e-03
3.906108191153692677e-01 3.067772111049849298e-03
3.908803135731029332e-01 4.588974817394975494e-03
3.911499939633792389e-01 6.418120632631189003e-03
3.914198604144786819e-01 8.556441760978399785e-03
3.916899130547703556e-01 1.100516773763230913e-02
3.919601520127119487e-01 1.376552609690355998e-02
3.922305774168498016e-01 1.683874154171975321e-02
3.925011893958187947e-01 2.022603632682340447e-02
3.927719880783428485e-01 2.392863013802140615e-02
3.930429735932343127e-01 2.794774005512777257e-02
3.933141460693946323e-01 3.228458082535111406e-02
3.935855056358142923e-01 3.694036469035184150e-02
3.938570524215724844e-01 4.191630017315574330e-02
3.941287865558377179e-01 4.721359357933489070e-02
3.944007081678674864e-01 5.283344892217985145e-02
3.946728173870084344e-01 5.877706927510255308e-02
3.949451143426964683e-01 6.504564962358545810e-02
3.952175991644569231e-01 7.164038810968212379e-02
3.954902719819043955e-01 7.856247451809962590e-02
3.957631329247428553e-01 8.581310270793066075e-02
3.960361821227658119e-01 9.339345204317917037e-02
3.963094197058563140e-01 1.013047143123293331e-01
3.965828458039871718e-01 1.095480658118760525e-01
3.968564605472205131e-01 1.181246848439171521e-01
3.971302640657086158e-01 1.270357480449259002e-01
3.974042564896931862e-01 1.362824244901723880e-01
3.976784379495060251e-01 1.458658847545727666e-01
3.979528085755688060e-01 1.557872911221582224e-01
3.982273684983931861e-01 1.660478110016307685e-01
3.985021178485808058e-01 1.766485954131795655e-01
3.987770567568234559e-01 1.875908106412520759e-01
3.990521853539030217e-01 1.988755987759774913e-01
3.993275037706917052e-01 2.105041170835577902e-01
3.996030121381521361e-01 2.224775032811223685e-01
3.998787105873369829e-01 2.347969047132055231e-01
4.001545992493895088e-01 2.474634619804380042e-01
4.004306782555434596e-01 2.604783078667362028e-01
4.007069477371231758e-01 2.738425735291383223e-01
4.009834078255434253e-01 2.875573890057357418e-01
4.012600586523097368e-01 3.016238837607643219e-01
4.015369003490185662e-01 3.160431676673597923e-01
4.018139330473567417e-01 3.308163711672423846e-01
4.020911568791022961e-01 3.459445989495459894e-01
4.023685719761240787e-01 3.614289693781919111e-01
4.026461784703819213e-01 3.772705819140452221e-01
4.029239764939266388e-01 3.934705447722625649e-01
4.032019661789001397e-01 4.100299596607343000e-01
4.034801476575356483e-01 4.269499136753119317e-01
4.037585210621574827e-01 4.442315118300329546e-01
4.040370865251814436e-01 4.618758173565600811e-01
4.043158441791143143e-01 4.798839437963010046e-01
4.045947941565546380e-01 4.982569537338510379e-01
4.048739365901924403e-01 5.169959253322432557e-01
4.051532716128090628e-01 5.361019422248115562e-01
4.054327993572776068e-01 5.555760571406579418e-01
4.057125199565628226e-01 5.754193410575827450e-01
4.059924335437211651e-01 5.956328567396312890e-01
4.062725402519010709e-01 6.162176475152321142e-01
4.065528402143425701e-01 6.371747831582228461e-01
4.068333335643777859e-01 6.585052872288263970e-01
4.071140204354307124e-01 6.802102387930760719e-01
4.073949009610175476e-01 7.022906406605720075e-01
4.076759752747465271e-01 7.247475533890139765e-01
4.079572435103180350e-01 7.475819865330316505e-01
4.082387058015247705e-01 7.707949875542411400e-01
4.085203622822516922e-01 7.943875625281019426e-01
4.088022130864761294e-01 8.183607382726225676e-01
4.090842583482678374e-01 8.427155173811708977e-01
4.093664982017891085e-01 8.674529181391684718e-01
4.096489327812948278e-01 8.925739334440554451e-01
4.099315622211324173e-01 9.180795878762660900e-01
4.102143866557421137e-01 9.439708348949295003e-01
4.104974062196566909e-01 9.702487056145361333e-01
4.107806210475019593e-01 9.969141661208967831e-01
4.110640312739964886e-01 1.023968192293212676e+00
4.113476370339519406e-01 1.051411771692692954e+00
4.116314384622727363e-01 1.079245870882049152e+00
4.119154356939565553e-01 1.107471451112377325e+00
4.121996288640942807e-01 1.136089486397523940e+00
4.124840181078698320e-01 1.165100928445068629e+00
4.127686035605604431e-01 1.194506723518729885e+00
4.130533853575367176e-01 1.224307841445105627e+00
4.133383636342626288e-01 1.254505199551977590e+00
4.136235385262956865e-01 1.285099748338256687e+00
4.139089101692867145e-01 1.316092393077045841e+00
4.141944786989804062e-01 1.347484105438982338e+00
