# Bandpower weights for C_B in Fourier space
# lowest theta boundary = 0.5
# highest theta boundary = 300
# apodization beand width = 0.5
# minimum multipole = 100
# maximum multipole = 1500
# number of bandpowers modes = 8
# binning type for multipoles = log
# theta[arcmin]      R(theta)
3.895346980473423093e-01 3.918260934894333131e-11
3.898034500559438009e-01 3.623146402229292629e-10
3.900723874848493478e-01 1.023821686246096562e-09
3.903415104619860077e-01 1.783292136619201551e-09
3.906108191153692677e-01 3.247274334759518818e-09
3.908803135731029332e-01 4.753560183773886483e-09
3.911499939633792389e-01 6.819422090992255686e-09
3.914198604144786819e-01 9.066398646146860796e-09
3.916899130547703556e-01 1.195196808557169521e-08
3.919601520127119487e-01 1.463999774105557776e-08
3.922305774168498016e-01 1.802295223434387395e-08
3.925011893958187947e-01 2.100003867760475017e-08
3.927719880783428485e-01 2.500742909500484785e-08
3.930429735932343127e-01 3.128484875347916714e-08
3.933141460693946323e-01 3.448652427332304998e-08
3.935855056358142923e-01 4.041468893642745593e-08
3.938570524215724844e-01 4.573228726887888066e-08
3.941287865558377179e-01 4.821563478392509060e-08
3.944007081678674864e-01 5.682329129161040390e-08
3.946728173870084344e-01 6.304160512691056213e-08
3.949451143426964683e-01 7.018849353351031387e-08
3.952175991644569231e-01 7.573919450067295932e-08
3.954902719819043955e-01 8.430758692668989430e-08
3.957631329247428553e-01 8.700133634819293113e-08
3.960361821227658119e-01 1.005459922972269614e-07
3.963094197058563140e-01 1.106542069822021463e-07
3.965828458039871718e-01 1.162689896596340481e-07
3.968564605472205131e-01 1.283165813670517608e-07
3.971302640657086158e-01 1.329115020813542714e-07
3.974042564896931862e-01 1.447097476458013568e-07
3.976784379495060251e-01 1.598316212657011857e-07
3.979528085755688060e-01 1.659410951243631944e-07
3.982273684983931861e-01 1.703009338945049941e-07
3.985021178485808058e-01 1.855136236377840836e-07
3.987770567568234559e-01 2.084208119733267640e-07
3.990521853539030217e-01 2.203499453895348850e-07
3.993275037706917052e-01 2.211526335472518545e-07
