# Bandpower weights for C_E in Fourier space
# lowest theta boundary = 0.5
# highest theta boundary = 300
# apodization beand width = 0.5
# minimum multipole = 100
# maximum multipole = 1500
# number of bandpowers modes = 8
# binning type for multipoles = log
# theta[arcmin]      R(theta)
3.895346980473423093e-01 7.902344366756376415e-01
3.898034500559438009e-01 7.112080653627296911e+00
3.900723874848493478e-01 1.975563641143103766e+01
3.903415104619860077e-01 3.872064548915650306e+01
3.906108191153692677e-01 6.400673290455492292e+01
3.908803135731029332e-01 9.561340492125133039e+01
3.911499939633792389e-01 1.335400490580888686e+02
3.914198604144786819e-01 1.777859341007679745e+02
3.916899130547703556e-01 2.283502101157170614e+02
3.919601520127119487e-01 2.852319084661677948e+02
3.922305774168498016e-01 3.484299418304429992e+02
3.925011893958187947e-01 4.179431042225575084e+02
3.927719880783428485e-01 4.937700710149670726e+02
3.930429735932343127e-01 5.759093989635198341e+02
3.933141460693946323e-01 6.643595262347735115e+02
3.935855056358142923e-01 7.591187724354540478e+02
3.938570524215724844e-01 8.601853386440199074e+02
3.941287865558377179e-01 9.675573074447605677e+02
3.944007081678674864e-01 1.081232642963780108e+03
3.946728173870084344e-01 1.201209190907427228e+03
3.949451143426964683e-01 1.327484678602920440e+03
3.952175991644569231e-01 1.460056715041188227e+03
3.954902719819043955e-01 1.598922790921757496e+03
3.957631329247428553e-01 1.744080278700152348e+03
3.960361821227658119e-01 1.895526432637313746e+03
3.963094197058563140e-01 2.053258388851383643e+03
3.965828458039871718e-01 2.217273165371635969e+03
3.968564605472205131e-01 2.387567662194374407e+03
3.971302640657086158e-01 2.564138661341685292e+03
3.974042564896931862e-01 2.746982826921676406e+03
3.976784379495060251e-01 2.936096705191447654e+03
3.979528085755688060e-01 3.131476724622105394e+03
3.982273684983931861e-01 3.333119195965946346e+03
3.985021178485808058e-01 3.541020312325767009e+03
3.987770567568234559e-01 3.755176149226821508e+03
3.990521853539030217e-01 3.975582664690166439e+03
3.993275037706917052e-01 4.202235699309359916e+03
3.996030121381521361e-01 4.435130976328362522e+03
3.998787105873369829e-01 4.674264101721783845e+03
4.001545992493895088e-01 4.919630564278055317e+03
4.004306782555434596e-01 5.171225735683988205e+03
4.007069477371231758e-01 5.429044870612056911e+03
4.009834078255434253e-01 5.693083106809342098e+03
4.012600586523097368e-01 5.963335465189428760e+03
4.015369003490185662e-01 6.239796849925810420e+03
4.018139330473567417e-01 6.522462048547608902e+03
4.020911568791022961e-01 6.811325732038104434e+03
4.023685719761240787e-01 7.106382454934572706e+03
4.026461784703819213e-01 7.407626655430900428e+03
4.029239764939266388e-01 7.715052655482043519e+03
4.032019661789001397e-01 8.028654660910907296e+03
4.034801476575356483e-01 8.348426761517528575e+03
4.037585210621574827e-01 8.674362931189880328e+03
4.040370865251814436e-01 9.006457028017628545e+03
4.043158441791143143e-01 9.344702794407066904e+03
4.045947941565546380e-01 9.689093857199417471e+03
4.048739365901924403e-01 1.003962372779044563e+04
4.051532716128090628e-01 1.039628580225233418e+04
4.054327993572776068e-01 1.075907336145800400e+04
4.057125199565628226e-01 1.112797957120767205e+04
4.059924335437211651e-01 1.150299748235707193e+04
4.062725402519010709e-01 1.188412003094845204e+04
4.065528402143425701e-01 1.227134003834297800e+04
4.068333335643777859e-01 1.266465021135610186e+04
4.071140204354307124e-01 1.306404314239451742e+04
4.073949009610175476e-01 1.346951130959568400e+04
4.076759752747465271e-01 1.388104707696904006e+04
4.079572435103180350e-01 1.429864269453977431e+04
4.082387058015247705e-01 1.472229029849425206e+04
4.085203622822516922e-01 1.515198191132823740e+04
4.088022130864761294e-01 1.558770944199674886e+04
4.090842583482678374e-01 1.602946468606614144e+04
4.093664982017891085e-01 1.647723932586851151e+04
4.096489327812948278e-01 1.693102493065809176e+04
4.099315622211324173e-01 1.739081295676951413e+04
4.102143866557421137e-01 1.785659474777895593e+04
4.104974062196566909e-01 1.832836153466616452e+04
4.107806210475019593e-01 1.880610443598009806e+04
4.110640312739964886e-01 1.928981445800543952e+04
4.113476370339519406e-01 1.977948249493203912e+04
4.116314384622727363e-01 2.027509932902561195e+04
4.119154356939565553e-01 2.077665563080161883e+04
4.121996288640942807e-01 2.128414195920045677e+04
4.124840181078698320e-01 2.179754876176468315e+04
4.127686035605604431e-01 2.231686637481911748e+04
4.130533853575367176e-01 2.284208502365199456e+04
4.133383636342626288e-01 2.337319482269923174e+04
4.136235385262956865e-01 2.391018577573024959e+04
4.139089101692867145e-01 2.445304777603511684e+04
4.141944786989804062e-01 2.500177060661594805e+04
4.144802442512148799e-01 2.555634394037758466e+04
4.147662069619221237e-01 2.611675734032283435e+04
4.150523669671278282e-01 2.668300025974796154e+04
