# Psi stats weights for ggl in Real space
# lowest theta boundary = 0.0001454441043328608
# highest theta boundary = 0.08726646259971647
# number of COSEBI modes = 6
# theta[arcmin]      Q(theta)
5.000000000000000000e-01 -2.839830437619259354e-05
5.003199808146676641e-01 -2.831219240113117282e-05
5.006401664047791522e-01 -2.831099592968533819e-05
5.009605569013820814e-01 -2.823710413601414714e-05
5.012811524356098891e-01 -2.823599884400518044e-05
5.016019531386775032e-01 -2.816220464763095308e-05
5.019229591418863379e-01 -2.816119028775796644e-05
5.022441705766194087e-01 -2.808749344978172106e-05
5.025655875743462175e-01 -2.808656977535863703e-05
5.028872102666178678e-01 -2.801297005750528590e-05
5.032090387850723934e-01 -2.801213682245907557e-05
5.035310732614295404e-01 -2.793863398707604597e-05
5.038533138274952083e-01 -2.793789094594533988e-05
5.041757606151581195e-01 -2.786448475600018207e-05
5.044984137563931492e-01 -2.786383166393380990e-05
5.048212733832576626e-01 -2.779052188301302145e-05
5.051443396278955111e-01 -2.778995849576828747e-05
5.054676126225331467e-01 -2.771674488807622226e-05
5.057910924994836188e-01 -2.771627096201744166e-05
5.061147793911427994e-01 -2.764315329237324704e-05
5.064386734299930470e-01 -2.764276858446983501e-05
5.067627747485995426e-01 -2.756974661830855630e-05
5.070870834796145088e-01 -2.756945088613371346e-05
5.074115997557729907e-01 -2.749652438950197749e-05
5.077363237098961868e-01 -2.749631739123135492e-05
5.080612554748905607e-01 -2.742348613078690587e-05
5.083863951837462869e-01 -2.742336762519664343e-05
5.087117429695404702e-01 -2.735063136820752624e-05
5.090372989654330382e-01 -2.735060111467305655e-05
5.093630633046718481e-01 -2.727795962901480143e-05
5.096890361205873576e-01 -2.727801738750905075e-05
5.100152175465978432e-01 -2.720547044166413107e-05
5.103416077162046260e-01 -2.720561597275591333e-05
5.106682067629967348e-01 -2.713316333581157041e-05
5.109950148206463538e-01 -2.713339640066416762e-05
5.113220320229135973e-01 -2.706103784231146886e-05
5.116492585036418461e-01 -2.706135820268128258e-05
5.119766943967624107e-01 -2.698909349321298694e-05
5.123043398362902012e-01 -2.698950091144757996e-05
5.126321949563277247e-01 -2.691732982175667427e-05
5.129602598910615319e-01 -2.691782406079359157e-05
5.132885347747662141e-01 -2.684574636237266034e-05
5.136170197417996297e-01 -2.684632718573780612e-05
5.139457149266083436e-01 -2.677434265067622277e-05
5.142746204637225205e-01 -2.677500982248231891e-05
5.146037364877606990e-01 -2.670311822346546653e-05
5.149330631334252395e-01 -2.670387150841043979e-05
5.152626005355072092e-01 -2.663207261871830843e-05
5.155923488288812750e-01 -2.663291178208403008e-05
5.159223081485104778e-01 -2.656120537558919064e-05
5.162524786294441226e-01 -2.656213018323952152e-05
5.165828604068160024e-01 -2.649051603440642105e-05
5.169134536158490612e-01 -2.649152625278628322e-05
5.172442583918502867e-01 -2.642000413666848355e-05
5.175752748702153738e-01 -2.642109953280195953e-05
5.179065031864249491e-01 -2.634966922504220507e-05
5.182379434760479020e-01 -2.635084956653103693e-05
5.185695958747380541e-01 -2.627951084335850349e-05
5.189014605182381557e-01 -2.628077589838072399e-05
5.192335375423756672e-01 -2.620952853661029033e-05
5.195658270830673109e-01 -2.621087807391869493e-05
5.198983292763141861e-01 -2.613972185094906575e-05
5.202310442582069872e-01 -2.614115563986961000e-05
5.205639721649211182e-01 -2.607009033368211653e-05
5.208971131327214676e-01 -2.607160814411278442e-05
5.212304672979577447e-01 -2.600063353326945316e-05
5.215640347970693647e-01 -2.600223513567844789e-05
5.218978157665807860e-01 -2.593135099932100457e-05
5.222318103431056180e-01 -2.593303616474546103e-05
5.225660186633432902e-01 -2.586224228259362967e-05
5.229004408640828272e-01 -2.586401078263765273e-05
5.232350770821981856e-01 -2.579330693498803426e-05
5.235699274546530280e-01 -2.579515854182223459e-05
5.239049921184982805e-01 -2.572454450954616211e-05
5.242402712108712448e-01 -2.572647899590486435e-05
5.245757648689988173e-01 -2.565595456044773569e-05
5.249114732301941588e-01 -2.565797169962882599e-05
5.252473964318596922e-01 -2.558753664300802676e-05
5.255835346114843265e-01 -2.558963620887074036e-05
5.259198879066464549e-01 -2.551929031367456316e-05
5.262564564550108459e-01 -2.552147208063794274e-05
5.265932403943324180e-01 -2.545121513002404555e-05
5.269302398624520212e-01 -2.545347887306581301e-05
5.272674549973008773e-01 -2.538331065075990123e-05
5.276048859368962507e-01 -2.538565614541536330e-05
5.279425328193461109e-01 -2.531557643570910262e-05
5.282803957828444696e-01 -2.531800345806836249e-05
5.286184749656760440e-01 -2.524801204581930098e-05
5.289567705062115932e-01 -2.525052037252770883e-05
5.292952825429131369e-01 -2.518061704315630557e-05
5.296340112143286261e-01 -2.518320645141130430e-05
5.299729566590971608e-01 -2.511339099090053293e-05
5.303121190159442166e-01 -2.511606125845154293e-05
5.306514984236863075e-01 -2.504633345334517390e-05
5.309910950212265446e-01 -2.504908435849110274e-05
5.313309089475594105e-01 -2.497944399589210749e-05
5.316709403417655411e-01 -2.498227531748060460e-05
5.320111893430167216e-01 -2.491272218505013233e-05
5.323516560905736661e-01 -2.491563370247582034e-05
5.326923407237846853e-01 -2.484616758843160900e-05
5.330332433820891280e-01 -2.484915908163500635e-05
5.333743642050136069e-01 -2.477977977474934973e-05
5.337157033321763278e-01 -2.478285102421514947e-05
5.340572609032825380e-01 -2.471355831381481254e-05
5.343990370581289673e-01 -2.471670910057072700e-05
5.347410319365997200e-01 -2.464750277653454029e-05
5.350832456786707159e-01 -2.465073288214935626e-05
5.354256784244051381e-01 -2.458161273490671835e-05
5.357683303139579856e-01 -2.458492194148984312e-05
5.361112014875718534e-01 -2.451588776202034790e-05
5.364542920855811525e-01 -2.451927585221938671e-05
5.367976022484080012e-01 -2.445032743205006548e-05
5.371411321165666664e-01 -2.445379418905017438e-05
5.374848818306587894e-01 -2.438493132025568896e-05
5.378288515313787155e-01 -2.438847652777772831e-05
5.381730413595081641e-01 -2.431969900297750465e-05
5.385174514559212255e-01 -2.432332244527669741e-05
5.388620819615803637e-01 -2.425463005763438016e-05
5.392069330175399688e-01 -2.425833151949947499e-05
5.395520047649425832e-01 -2.418972406272133164e-05
5.398972973450230084e-01 -2.419350332947234645e-05
5.402428108991059741e-01 -2.412498059780587823e-05
5.405885455686055829e-01 -2.412883745529344285e-05
5.409345014950280861e-01 -2.406039924352601928e-05
5.412806788199684416e-01 -2.406433347812946796e-05
5.416270776851141999e-01 -2.399597958158745275e-05
5.419736982322415075e-01 -2.399999098021397373e-05
5.423205406032194364e-01 -2.393172119476006166e-05
5.426676049400057655e-01 -2.393580954484299632e-05
5.430148913846510883e-01 -2.386762366687654533e-05
5.433624000792948161e-01 -2.387178875637380597e-05
5.437101311661695080e-01 -2.380368658282832652e-05
5.440580847875965409e-01 -2.380792820022169834e-05
5.444062610859906615e-01 -2.373990952856373871e-05
5.447546602038555452e-01 -2.374422746285663355e-05
5.451032822837880154e-01 -2.367629209108485492e-05
5.454521274684741572e-01 -2.368068613180195544e-05
5.458011959006937586e-01 -2.361283385844496007e-05
5.461504877233154254e-01 -2.361730379563035633e-05
5.465000030793014663e-01 -2.354953441974612171e-05
5.468497421117037849e-01 -2.355408004396172890e-05
5.471997049636675436e-01 -2.348639336513604588e-05
5.475498917784277220e-01 -2.349101446746058446e-05
5.479003026993124470e-01 -2.342341028580564099e-05
5.482509378697416613e-01 -2.342810665783317305e-05
5.486017974332252356e-01 -2.336058477398638526e-05
5.489528815333672984e-01 -2.336535620782495589e-05
5.493041903138616844e-01 -2.329791642294731468e-05
5.496557239184960419e-01 -2.330276271121799986e-05
5.500074824911481697e-01 -2.323540482699290881e-05
5.503594661757903461e-01 -2.324032576282808411e-05
5.507116751164841117e-01 -2.317304958146034299e-05
