# COSEBI weights for En in Real space
# lowest theta boundary = 0.0001454441043328608
# highest theta boundary = 0.08726646259971647
# number of COSEBI modes = 6
# theta[arcmin]      T_-(theta)
5.000000000000001110e-01 1.511572418914768967e+01
5.003199808146676641e-01 1.499801651609159592e+01
5.006401664047791522e-01 1.488082133971686183e+01
5.009605569013820814e-01 1.476413655525938751e+01
5.012811524356098891e-01 1.464796146105991959e+01
5.016019531386775032e-01 1.453229454038813451e+01
5.019229591418863379e-01 1.441713404319699876e+01
5.022441705766194087e-01 1.430247776157240480e+01
5.025655875743462175e-01 1.418832350370019313e+01
5.028872102666178678e-01 1.407467045463989308e+01
5.032090387850723934e-01 1.396151713915101666e+01
5.035310732614295404e-01 1.384886183886162847e+01
5.038533138274952083e-01 1.373670237300701480e+01
5.041757606151581195e-01 1.362503656131729279e+01
5.044984137563931492e-01 1.351386360465792436e+01
5.048212733832576626e-01 1.340318205838226540e+01
5.051443396278955111e-01 1.329299023197307861e+01
5.054676126225331467e-01 1.318328597041313799e+01
5.057910924994836188e-01 1.307406711019791778e+01
5.061147793911427994e-01 1.296533287152893976e+01
5.064386734299930470e-01 1.285708184150242772e+01
5.067627747485995426e-01 1.274931235905999216e+01
5.070870834796145088e-01 1.264202229125655030e+01
5.074115997557729907e-01 1.253520948926772505e+01
5.077363237098961868e-01 1.242887319952842873e+01
5.080612554748905607e-01 1.232301203637739206e+01
5.083863951837462869e-01 1.221762436140990893e+01
5.087117429695404702e-01 1.211270806982868109e+01
5.090372989654330382e-01 1.200826103603314898e+01
5.093630633046718481e-01 1.190428251658920544e+01
5.096890361205873576e-01 1.180077115862445680e+01
5.100152175465978432e-01 1.169772535087039422e+01
5.103416077162046260e-01 1.159514301574591499e+01
5.106682067629967348e-01 1.149302203590305282e+01
5.109950148206463538e-01 1.139136169510966567e+01
5.113220320229135973e-01 1.129016066678567931e+01
5.116492585036418461e-01 1.118941736749783189e+01
5.119766943967624107e-01 1.108912974118215544e+01
5.123043398362902012e-01 1.098929568885116836e+01
5.126321949563277247e-01 1.088991451389271248e+01
5.129602598910615319e-01 1.079098491388564085e+01
5.132885347747662141e-01 1.069250533600118125e+01
5.136170197417996297e-01 1.059447374747411885e+01
5.139457149266083436e-01 1.049688806572475741e+01
5.142746204637225205e-01 1.039974761036212314e+01
5.146037364877606990e-01 1.030305111334807222e+01
5.149330631334252395e-01 1.020679703735691390e+01
5.152626005355072092e-01 1.011098338428621801e+01
5.155923488288812750e-01 1.001560807757718408e+01
5.159223081485104778e-01 9.920670459639945093e+00
5.162524786294441226e-01 9.826169288238574495e+00
5.165828604068160024e-01 9.732103058412336694e+00
5.169134536158490612e-01 9.638469784706137133e+00
5.172442583918502867e-01 9.545267418680076332e+00
5.175752748702153738e-01 9.452495310354166236e+00
5.179065031864249491e-01 9.360152248737806602e+00
