# COSEBI weights for En in Real space
# lowest theta boundary = 0.5
# highest theta boundary = 300
# number of COSEBI modes = 20
# theta[arcmin]      T_-(theta)
5.000000000000001110e-01 -2.142023284726340293e+01
5.003199808146676641e-01 -2.109554412277524094e+01
5.006401664047791522e-01 -2.077342390689879181e+01
5.009605569013820814e-01 -2.045386001909311346e+01
5.012811524356098891e-01 -2.013684618051980735e+01
5.016019531386775032e-01 -1.982236370027440486e+01
5.019229591418863379e-01 -1.951039711665546861e+01
5.022441705766194087e-01 -1.920093055150890038e+01
5.025655875743462175e-01 -1.889395127782364625e+01
5.028872102666178678e-01 -1.858945244711080491e+01
5.032090387850723934e-01 -1.828741567004837876e+01
5.035310732614295404e-01 -1.798782567647000619e+01
5.038533138274952083e-01 -1.769066693644940713e+01
5.041757606151581195e-01 -1.739592704937534506e+01
5.044984137563931492e-01 -1.710359937183865853e+01
5.048212733832576626e-01 -1.681366589740749617e+01
5.051443396278955111e-01 -1.652611168407052133e+01
5.054676126225331467e-01 -1.624092157294737149e+01
5.057910924994836188e-01 -1.595808342642961009e+01
5.061147793911427994e-01 -1.567759076433702070e+01
5.064386734299930470e-01 -1.539942591283436357e+01
5.067627747485995426e-01 -1.512357425406369593e+01
5.070870834796145088e-01 -1.485002099278989363e+01
5.074115997557729907e-01 -1.457875425371123868e+01
5.077363237098961868e-01 -1.430976770850871205e+01
5.080612554748905607e-01 -1.404304401765016763e+01
5.083863951837462869e-01 -1.377856887822535548e+01
5.087117429695404702e-01 -1.351632785189617536e+01
5.090372989654330382e-01 -1.325630932202365564e+01
5.093630633046718481e-01 -1.299850711147645299e+01
5.096890361205873576e-01 -1.274290420544495106e+01
5.100152175465978432e-01 -1.248948661139175798e+01
5.103416077162046260e-01 -1.223824024070090211e+01
5.106682067629967348e-01 -1.198915373174828858e+01
5.109950148206463538e-01 -1.174222105679717210e+01
5.113220320229135973e-01 -1.149742551868624041e+01
5.116492585036418461e-01 -1.125475342845145121e+01
5.119766943967624107e-01 -1.101419104222234147e+01
5.123043398362902012e-01 -1.077572724991976294e+01
5.126321949563277247e-01 -1.053935616756545812e+01
5.129602598910615319e-01 -1.030506141180915591e+01
5.132885347747662141e-01 -1.007282959249905119e+01
5.136170197417996297e-01 -9.842647299632574232e+00
5.139457149266082325e-01 -9.614503678311663748e+00
5.142746204637225205e-01 -9.388392979714472730e+00
5.146037364877606990e-01 -9.164299129886614992e+00
5.149330631334252395e-01 -8.942209030550898774e+00
5.152626005355072092e-01 -8.722109603737543182e+00
5.155923488288812750e-01 -8.503990239529148454e+00
5.159223081485104778e-01 -8.287845325120965612e+00
5.162524786294441226e-01 -8.073659090279544870e+00
5.165828604068160024e-01 -7.861418723529882691e+00
5.169134536158490612e-01 -7.651111469752392757e+00
5.172442583918502867e-01 -7.442726964188429051e+00
5.175752748702153738e-01 -7.236259725876108995e+00
5.179065031864249491e-01 -7.031694281408928049e+00
5.182379434760479020e-01 -6.829018100740743336e+00
5.185695958747380541e-01 -6.628218747054849480e+00
5.189014605182381557e-01 -6.429286095642499532e+00
5.192335375423756672e-01 -6.232214795689991149e+00
5.195658270830673109e-01 -6.036989664739001782e+00
5.198983292763141861e-01 -5.843598449895219815e+00
5.202310442582069872e-01 -5.652029022876686959e+00
5.205639721649211182e-01 -5.462271499754617565e+00
5.208971131327214676e-01 -5.274320653697368577e+00
5.212304672979577447e-01 -5.088161591124039873e+00
5.215640347970693647e-01 -4.903782327001588115e+00
5.218978157665807860e-01 -4.721171039444004514e+00
5.222318103431056180e-01 -4.540318081767201974e+00
5.225660186633432902e-01 -4.361218346761683406e+00
5.229004408640828272e-01 -4.183857222840312140e+00
5.232350770821981856e-01 -4.008222991128000956e+00
5.235699274546530280e-01 -3.834304128523523758e+00
5.239049921184982805e-01 -3.662091219190087621e+00
5.242402712108712448e-01 -3.491579277569622164e+00
5.245757648689988173e-01 -3.322753967926656671e+00
5.249114732301941588e-01 -3.155603830670021814e+00
5.252473964318596922e-01 -2.990117636497296338e+00
5.255835346114843265e-01 -2.826286199149581790e+00
5.259198879066464549e-01 -2.664104648250846807e+00
5.262564564550108459e-01 -2.503558922110892482e+00
5.265932403943324180e-01 -2.344637813459763187e+00
5.269302398624520212e-01 -2.187330380750488246e+00
5.272674549973008773e-01 -2.031627665114028147e+00
5.276048859368962507e-01 -1.877524910072947861e+00
5.279425328193461109e-01 -1.725008319132110834e+00
5.282803957828444696e-01 -1.574066934986031896e+00
5.286184749656760440e-01 -1.424690098440982489e+00
5.289567705062115932e-01 -1.276869075031759060e+00
5.292952825429131369e-01 -1.130599216521258832e+00
5.296340112143286261e-01 -9.858669902020862352e-01
5.299729566590971608e-01 -8.426616837433966722e-01
5.303121190159442166e-01 -7.009729122969243775e-01
5.306514984236863075e-01 -5.607921628800340841e-01
5.309910950212265446e-01 -4.221148963983800684e-01
5.313309089475594105e-01 -2.849278359239697522e-01
5.316709403417655411e-01 -1.492205087280558118e-01
5.320111893430167216e-01 -1.498280095663773182e-02
5.323516560905736661e-01 1.177935819510205206e-01
5.326923407237846853e-01 2.491130748726257949e-01
5.330332433820891280e-01 3.789887013616137779e-01
5.333743642050136069e-01 5.074306993191521897e-01
5.337157033321763278e-01 6.344489185733825920e-01
5.340572609032825380e-01 7.600514377301141877e-01
5.343990370581289673e-01 8.842425886719498251e-01
5.347410319365997200e-01 1.007035148048282203e+00
5.350832456786707159e-01 1.128439123243482278e+00
5.354256784244051381e-01 1.248464103830058569e+00
5.357683303139579856e-01 1.367117956701183523e+00
5.361112014875718534e-01 1.484404913399985926e+00
5.364542920855811525e-01 1.600337507358281730e+00
5.367976022484080012e-01 1.714925520398380421e+00
5.371411321165666664e-01 1.828178287728669638e+00
5.374848818306587894e-01 1.940103466880074734e+00
5.378288515313787155e-01 2.050705191884081291e+00
5.381730413595081641e-01 2.159995756577967718e+00
5.385174514559212255e-01 2.267984720827240341e+00
5.388620819615803637e-01 2.374681174311878085e+00
5.392069330175399688e-01 2.480092564548334266e+00
5.395520047649425832e-01 2.584222931368393983e+00
5.398972973450230084e-01 2.687084334373664785e+00
5.402428108991059741e-01 2.788686117907666517e+00
5.405885455686055829e-01 2.889037124754533892e+00
5.409345014950280861e-01 2.988144600790381133e+00
5.412806788199684416e-01 3.086012492555717301e+00
5.416270776851141999e-01 3.182652628311525955e+00
5.419736982322415075e-01 3.278074141654440776e+00
5.423205406032194364e-01 3.372285636341211479e+00
5.426676049400057655e-01 3.465294156280483762e+00
5.430148913846510883e-01 3.557103557596430043e+00
5.433624000792948161e-01 3.647725443020589431e+00
5.437101311661695080e-01 3.737168737948916242e+00
5.440580847875965409e-01 3.825441811878846465e+00
5.444062610859906615e-01 3.912551511279428684e+00
5.447546602038555452e-01 3.998501603460973719e+00
5.451032822837880154e-01 4.083303468591124030e+00
5.454521274684741572e-01 4.166965828727202670e+00
5.458011959006937586e-01 4.249496825278106904e+00
5.461504877233154254e-01 4.330903107942907226e+00
5.465000030793014663e-01 4.411188358546572097e+00
5.468497421117037849e-01 4.490363738642401792e+00
5.471997049636675436e-01 4.568437771796055813e+00
5.475498917784277220e-01 4.645418373972760584e+00
5.479003026993124470e-01 4.721312003973140214e+00
5.482509378697416613e-01 4.796122257038677006e+00
5.486017974332252356e-01 4.869860082554694714e+00
5.489528815333672984e-01 4.942533807817092395e+00
5.493041903138616844e-01 5.014151129790761274e+00
5.496557239184960419e-01 5.084718317505557472e+00
5.500074824911481697e-01 5.154238883113686498e+00
5.503594661757903461e-01 5.222723566727882627e+00
5.507116751164841117e-01 5.290180504118635163e+00
5.510641094573861531e-01 5.356617177182906531e+00
5.514167693427425299e-01 5.422039668738046991e+00
5.517696549168943365e-01 5.486451409498745768e+00
5.521227663242725958e-01 5.549862933061786130e+00
5.524761037094029215e-01 5.612282189128048770e+00
5.528296672169015213e-01 5.673716448922434097e+00
5.531834569914789723e-01 5.734171610583057799e+00
5.535374731779364454e-01 5.793651025668460797e+00
5.538917159211699248e-01 5.852165026961885452e+00
5.542461853661660998e-01 5.909721379715394463e+00
5.546008816580062506e-01 5.966327149059447166e+00
5.549558049418628070e-01 6.021988053505230809e+00
5.553109553630029005e-01 6.076707365612303846e+00
5.556663330667847012e-01 6.130495219364675563e+00
5.560219381986613030e-01 6.183359202118883680e+00
5.563777709041769493e-01 6.235306176901265651e+00
5.567338313289705853e-01 6.286341683307361095e+00
5.570901196187743043e-01 6.336468918381398474e+00
5.574466359194121257e-01 6.385697822264640777e+00
5.578033803768028820e-01 6.434035805380912798e+00
5.581603531369574434e-01 6.481489534296478894e+00
5.585175543459817149e-01 6.528064372838284335e+00
5.588749841500733062e-01 6.573763443895803249e+00
5.592326426955251950e-01 6.618596496090479064e+00
5.595905301287219524e-01 6.662570768582774861e+00
5.599486465961441839e-01 6.705692734343546846e+00
5.603069922443637552e-01 6.747967585192977680e+00
5.606655672200488993e-01 6.789398370549321271e+00
5.610243716699591099e-01 6.829994651802687500e+00
5.613834057409502476e-01 6.869763500045166893e+00
5.617426695799698777e-01 6.908711199213088960e+00
5.621021633340618218e-01 6.946842771411597894e+00
5.624618871503618278e-01 6.984161194201393918e+00
5.628218411761020112e-01 7.020675845770160350e+00
5.631820255586065249e-01 7.056393632000308891e+00
5.635424404452957781e-01 7.091320652459721430e+00
5.639030859836825504e-01 7.125461761598016253e+00
5.642639623213763223e-01 7.158819867050351782e+00
5.646250696060786112e-01 7.191404167281280735e+00
5.649864079855870802e-01 7.223221406206442374e+00
5.653479776077942054e-01 7.254277503083709888e+00
5.657097786206853884e-01 7.284577148324995477e+00
5.660718111723429535e-01 7.314123180177420025e+00
5.664340754109413734e-01 7.342924620428895821e+00
5.667965714847528202e-01 7.370988055495084623e+00
5.671592995421417260e-01 7.398319227642724982e+00
5.675222597315697781e-01 7.424922665457307502e+00
5.678854522015915895e-01 7.450801139954235097e+00
5.682488771008588069e-01 7.475963500118703031e+00
5.686125345781160023e-01 7.500416176975273075e+00
5.689764247822054477e-01 7.524164740032301069e+00
5.693405478620623406e-01 7.547213559515341785e+00
5.697049039667193560e-01 7.569565339928884029e+00
5.700694932453019836e-01 7.591228759907894030e+00
5.704343158470340791e-01 7.612210099988804934e+00
5.707993719212320904e-01 7.632514760067131476e+00
5.711646616173108315e-01 7.652146954529737144e+00
5.715301850847780418e-01 7.671109322772716510e+00
5.718959424732396046e-01 7.689410376525955826e+00
5.722619339323949950e-01 7.707056248322736280e+00
5.726281596120413875e-01 7.724052172959552820e+00
5.729946196620697707e-01 7.740402211540384769e+00
5.733613142324696099e-01 7.756108939133037339e+00
5.737282434733235181e-01 7.771180704706845077e+00
5.740954075348121410e-01 7.785623495139708083e+00
5.744628065672126027e-01 7.799442384172334819e+00
5.748304407208956190e-01 7.812641281828128115e+00
5.751983101463312709e-01 7.825222700835208656e+00
5.755664149940833418e-01 7.837194828857902529e+00
5.759347554148140924e-01 7.848563513228523192e+00
5.763033315592800410e-01 7.859333667325242523e+00
5.766721435783365157e-01 7.869509054633978096e+00
5.770411916229331029e-01 7.879092124251620533e+00
5.774104758441180874e-01 7.888090909625970149e+00
5.777799963930344562e-01 7.896511117590346629e+00
5.781497534209238953e-01 7.904357506715458115e+00
