# COSEBI weights for En in Real space
# lowest theta boundary = 0.5
# highest theta boundary = 0.5
# number of COSEBI modes = 20
# theta[arcmin]      T_+(theta)
5.000000000000001110e-01 -1.923286764264956616e+01
5.003199808146676641e-01 -1.910752525552244308e+01
5.006401664047791522e-01 -1.898261165627346969e+01
5.009605569013820814e-01 -1.885812586611945108e+01
5.012811524356098891e-01 -1.873406690788642237e+01
5.016019531386775032e-01 -1.861043380600943564e+01
5.019229591418863379e-01 -1.848722558652872294e+01
5.022441705766194087e-01 -1.836444127708962881e+01
5.025655875743462175e-01 -1.824207990693881953e+01
5.028872102666178678e-01 -1.812014050692422984e+01
5.032090387850723934e-01 -1.799862210949110874e+01
5.035310732614295404e-01 -1.787752374868207639e+01
5.038533138274952083e-01 -1.775684446013352868e+01
5.041757606151581195e-01 -1.763658328107497297e+01
5.044984137563931492e-01 -1.751673925032586965e+01
5.048212733832576626e-01 -1.739731140829508149e+01
5.051443396278955111e-01 -1.727829879697748083e+01
5.054676126225331467e-01 -1.715970045995345927e+01
5.057910924994836188e-01 -1.704151544238557747e+01
5.061147793911427994e-01 -1.692374279101801804e+01
5.064386734299930470e-01 -1.680638155417334900e+01
5.067627747485995426e-01 -1.668943078175194827e+01
5.070870834796145088e-01 -1.657288952522859304e+01
5.074115997557729907e-01 -1.645675683765204766e+01
5.077363237098961868e-01 -1.634103177364200121e+01
5.080612554748905607e-01 -1.622571338938746521e+01
5.083863951837462869e-01 -1.611080074264544137e+01
5.087117429695404702e-01 -1.599629289273788935e+01
5.090372989654330382e-01 -1.588218890055127197e+01
5.093630633046718481e-01 -1.576848782853288178e+01
5.096890361205873576e-01 -1.565518874069080901e+01
5.100152175465978432e-01 -1.554229070259023970e+01
5.103416077162046260e-01 -1.542979278135322652e+01
5.106682067629967348e-01 -1.531769404565519110e+01
5.109950148206463538e-01 -1.520599356572460614e+01
5.113220320229135973e-01 -1.509469041333948525e+01
5.116492585036418461e-01 -1.498378366182708810e+01
5.119766943967624107e-01 -1.487327238606046009e+01
5.123043398362902012e-01 -1.476315566245802202e+01
5.126321949563277247e-01 -1.465343256898035129e+01
5.129602598910615319e-01 -1.454410218512949449e+01
5.132885347747662141e-01 -1.443516359194576637e+01
5.136170197417996297e-01 -1.432661587200746567e+01
5.139457149266082325e-01 -1.421845810942724420e+01
5.142746204637225205e-01 -1.411068938985173915e+01
5.146037364877606990e-01 -1.400330880045850712e+01
5.149330631334252395e-01 -1.389631542995528157e+01
5.152626005355072092e-01 -1.378970836857671145e+01
5.155923488288812750e-01 -1.368348670808411072e+01
5.159223081485104778e-01 -1.357764954176206196e+01
5.162524786294441226e-01 -1.347219596441724043e+01
5.165828604068160024e-01 -1.336712507237712799e+01
5.169134536158490612e-01 -1.326243596348666820e+01
5.172442583918502867e-01 -1.315812773710803540e+01
5.175752748702153738e-01 -1.305419949411732006e+01
5.179065031864249491e-01 -1.295065033690385725e+01
5.182379434760479020e-01 -1.284747936936734014e+01
5.185695958747380541e-01 -1.274468569691701347e+01
5.189014605182381557e-01 -1.264226842646858806e+01
5.192335375423756672e-01 -1.254022666644370609e+01
5.195658270830673109e-01 -1.243855952676669396e+01
5.198983292763141861e-01 -1.233726611886421942e+01
5.202310442582069872e-01 -1.223634555566187387e+01
5.205639721649211182e-01 -1.213579695158380112e+01
5.208971131327214676e-01 -1.203561942254943951e+01
5.212304672979577447e-01 -1.193581208597307608e+01
5.215640347970693647e-01 -1.183637406076056386e+01
5.218978157665807860e-01 -1.173730446730887778e+01
5.222318103431056180e-01 -1.163860242750306462e+01
5.225660186633432902e-01 -1.154026706471540820e+01
5.229004408640828272e-01 -1.144229750380248234e+01
5.232350770821981856e-01 -1.134469287110471392e+01
5.235699274546530280e-01 -1.124745229444314099e+01
5.239049921184982805e-01 -1.115057490311833099e+01
5.242402712108712448e-01 -1.105405982790879804e+01
5.245757648689988173e-01 -1.095790620106827085e+01
5.249114732301941588e-01 -1.086211315632482410e+01
5.252473964318596922e-01 -1.076667982887821751e+01
5.255835346114843265e-01 -1.067160535539886368e+01
5.259198879066464549e-01 -1.057688887402517963e+01
5.262564564550108459e-01 -1.048252952436264351e+01
5.265932403943324180e-01 -1.038852644748093645e+01
5.269302398624520212e-01 -1.029487878591331373e+01
5.272674549973008773e-01 -1.020158568365355833e+01
5.276048859368962507e-01 -1.010864628615539118e+01
5.279425328193461109e-01 -1.001605974032936786e+01
5.282803957828444696e-01 -9.923825194542377659e+00
5.286184749656760440e-01 -9.831941798614552752e+00
5.289567705062115932e-01 -9.740408703818758340e+00
5.292952825429131369e-01 -9.649225062877366810e+00
5.296340112143286261e-01 -9.558390029961920220e+00
5.299729566590971608e-01 -9.467902760689922204e+00
5.303121190159442166e-01 -9.377762412124337033e+00
5.306514984236863075e-01 -9.287968142770550273e+00
5.309910950212265446e-01 -9.198519112575761270e+00
5.313309089475594105e-01 -9.109414482925943801e+00
5.316709403417655411e-01 -9.020653416645426859e+00
5.320111893430167216e-01 -8.932235077993810890e+00
5.323516560905736661e-01 -8.844158632664758102e+00
5.326923407237846853e-01 -8.756423247784573149e+00
5.330332433820891280e-01 -8.669028091909520839e+00
5.333743642050136069e-01 -8.581972335025028542e+00
5.337157033321763278e-01 -8.495255148542810275e+00
5.340572609032825380e-01 -8.408875705300239645e+00
5.343990370581289673e-01 -8.322833179557466821e+00
5.347410319365997200e-01 -8.237126746996668913e+00
5.350832456786707159e-01 -8.151755584719191816e+00
5.354256784244051381e-01 -8.066718871244892952e+00
5.357683303139579856e-01 -7.982015786509268018e+00
5.361112014875718534e-01 -7.897645511862714685e+00
5.364542920855811525e-01 -7.813607230067746379e+00
5.367976022484080012e-01 -7.729900125298226676e+00
5.371411321165666664e-01 -7.646523383136533347e+00
5.374848818306587894e-01 -7.563476190572964164e+00
5.378288515313787155e-01 -7.480757736002681568e+00
5.381730413595081641e-01 -7.398367209225255259e+00
5.385174514559212255e-01 -7.316303801441703669e+00
5.388620819615803637e-01 -7.234566705253699048e+00
5.392069330175399688e-01 -7.153155114660973979e+00
5.395520047649425832e-01 -7.072068225060468727e+00
5.398972973450230084e-01 -6.991305233243612527e+00
5.402428108991059741e-01 -6.910865337395136088e+00
5.405885455686055829e-01 -6.830747737091443561e+00
5.409345014950280861e-01 -6.750951633298241106e+00
5.412806788199684416e-01 -6.671476228369579431e+00
5.416270776851141999e-01 -6.592320726045230117e+00
5.419736982322415075e-01 -6.513484331449862275e+00
5.423205406032194364e-01 -6.434966251090319389e+00
5.426676049400057655e-01 -6.356765692854841276e+00
5.430148913846510883e-01 -6.278881866010404877e+00
5.433624000792948161e-01 -6.201313981201895587e+00
5.437101311661695080e-01 -6.124061250449408966e+00
5.440580847875965409e-01 -6.047122887147478032e+00
5.444062610859906615e-01 -5.970498106062350985e+00
5.447546602038555452e-01 -5.894186123331238925e+00
5.451032822837880154e-01 -5.818186156459670855e+00
5.454521274684741572e-01 -5.742497424320614385e+00
5.458011959006937586e-01 -5.667119147151798764e+00
5.461504877233154254e-01 -5.592050546555048740e+00
5.465000030793014663e-01 -5.517290845493515228e+00
5.468497421117037849e-01 -5.442839268290843968e+00
5.471997049636675436e-01 -5.368695040628677972e+00
5.475498917784277220e-01 -5.294857389545671644e+00
5.479003026993124470e-01 -5.221325543435084704e+00
5.482509378697416613e-01 -5.148098732043350445e+00
5.486017974332252356e-01 -5.075176186468760342e+00
5.489528815333672984e-01 -5.002557139158858135e+00
5.493041903138616844e-01 -4.930240823909676884e+00
5.496557239184960419e-01 -4.858226475863191673e+00
5.500074824911481697e-01 -4.786513331506368374e+00
5.503594661757903461e-01 -4.715100628668579041e+00
5.507116751164841117e-01 -4.643987606520960654e+00
5.510641094573861531e-01 -4.573173505573538300e+00
5.514167693427425299e-01 -4.502657567674679839e+00
5.517696549168943365e-01 -4.432439036008273270e+00
5.521227663242725958e-01 -4.362517155093057042e+00
5.524761037094029215e-01 -4.292891170779992827e+00
