# Psi stats weights for clustering in Real space
# lowest theta boundary = 0.0001454441043328608
# highest theta boundary = 0.08726646259971647
# number of COSEBI modes = 6
# theta[arcmin]      U(theta)
5.000000000000000000e-01 -2.085644904431112573e-05
5.003199808146676641e-01 -2.085618165282941068e-05
5.006401664047791522e-01 -2.085591409165717396e-05
5.009605569013820814e-01 -2.085564636068760810e-05
5.012811524356098891e-01 -2.085537845981391580e-05
5.016019531386775032e-01 -2.085511038892921167e-05
5.019229591418863379e-01 -2.085484214792647479e-05
5.022441705766194087e-01 -2.085457373669873167e-05
5.025655875743462175e-01 -2.085430515513884281e-05
5.028872102666178678e-01 -2.085403640313964160e-05
5.032090387850723934e-01 -2.085376748059393433e-05
5.035310732614295404e-01 -2.085349838739441886e-05
5.038533138274952083e-01 -2.085322912343368125e-05
5.041757606151581195e-01 -2.085295968860435500e-05
5.044984137563931492e-01 -2.085269008279889402e-05
5.048212733832576626e-01 -2.085242030590977596e-05
5.051443396278955111e-01 -2.085215035782932936e-05
5.054676126225331467e-01 -2.085188023844994039e-05
5.057910924994836188e-01 -2.085160994766377499e-05
5.061147793911427994e-01 -2.085133948536293470e-05
5.064386734299930470e-01 -2.085106885143969387e-05
5.067627747485995426e-01 -2.085079804578599821e-05
5.070870834796145088e-01 -2.085052706829381374e-05
5.074115997557729907e-01 -2.085025591885507600e-05
5.077363237098961868e-01 -2.084998459736159179e-05
5.080612554748905607e-01 -2.084971310370513400e-05
5.083863951837462869e-01 -2.084944143777741455e-05
5.087117429695404702e-01 -2.084916959947010471e-05
5.090372989654330382e-01 -2.084889758867473005e-05
5.093630633046718481e-01 -2.084862540528279582e-05
5.096890361205873576e-01 -2.084835304918577676e-05
5.100152175465978432e-01 -2.084808052027500194e-05
5.103416077162046260e-01 -2.084780781844180380e-05
5.106682067629967348e-01 -2.084753494357737588e-05
5.109950148206463538e-01 -2.084726189557292188e-05
5.113220320229135973e-01 -2.084698867431953708e-05
5.116492585036418461e-01 -2.084671527970827950e-05
5.119766943967624107e-01 -2.084644171163006822e-05
5.123043398362902012e-01 -2.084616796997581218e-05
