# dimensionless COSEBI weights for En in Real space
# lowest theta boundary = 0.0001454441043328608
# highest theta boundary = 0.08726646259971647
# number of COSEBI modes = 6
# theta[arcmin]      T_-(theta)
5.000000000000001110e-01 1.511974117638663415e+02
5.003199808146676641e-01 1.501725724146233460e+02
5.006401664047791522e-01 1.491517655213642968e+02
5.009605569013820814e-01 1.481349792071778211e+02
5.012811524356098891e-01 1.471222023672859791e+02
5.016019531386775032e-01 1.461134209720783304e+02
5.019229591418863379e-01 1.451086220609281554e+02
5.022441705766194087e-01 1.441077928467469746e+02
5.025655875743462175e-01 1.431109214318112208e+02
5.028872102666178678e-01 1.421179968134530043e+02
5.032090387850723934e-01 1.411290051497750255e+02
5.035310732614295404e-01 1.401439336187750939e+02
5.038533138274952083e-01 1.391627695807827081e+02
5.041757606151581195e-01 1.381855012843169561e+02
5.044984137563931492e-01 1.372121179509365447e+02
5.048212733832576626e-01 1.362426059550390676e+02
5.051443396278955111e-01 1.352769526548279941e+02
5.054676126225331467e-01 1.343151455640522443e+02
5.057910924994836188e-01 1.333571730565639371e+02
5.061147793911427994e-01 1.324030245588801051e+02
5.064386734299930470e-01 1.314526866490075747e+02
5.067627747485995426e-01 1.305061468604183688e+02
5.070870834796145088e-01 1.295633928640118029e+02
5.074115997557729907e-01 1.286244131499236119e+02
5.077363237098961868e-01 1.276891973500999171e+02
5.080612554748905607e-01 1.267577322418177914e+02
5.083863951837462869e-01 1.258300055426424962e+02
5.087117429695404702e-01 1.249060050604084324e+02
5.090372989654330382e-01 1.239857194158225582e+02
5.093630633046718481e-01 1.230691384332023119e+02
5.096890361205873576e-01 1.221562490914981396e+02
5.100152175465978432e-01 1.212470392791918243e+02
5.103416077162046260e-01 1.203414969572263828e+02
5.106682067629967348e-01 1.194396108632733160e+02
5.109950148206463538e-01 1.185413710174594684e+02
5.113220320229135973e-01 1.176467645961692483e+02
5.116492585036418461e-01 1.167557796555612413e+02
5.119766943967624107e-01 1.158684043036573712e+02
5.123043398362902012e-01 1.149846273985409368e+02
5.126321949563277247e-01 1.141044391482008962e+02
5.129602598910615319e-01 1.132278269252449547e+02
5.132885347747662141e-01 1.123547789562708772e+02
5.136170197417996297e-01 1.114852834940060546e+02
5.139457149266083436e-01 1.106193295129034198e+02
5.142746204637225205e-01 1.097569074068133546e+02
5.146037364877606990e-01 1.088980047414465986e+02
5.149330631334252395e-01 1.080426099129383601e+02
5.152626005355072092e-01 1.071907113150768112e+02
5.155923488288812750e-01 1.063422980346100815e+02
5.159223081485104778e-01 1.054973606523301726e+02
5.162524786294441226e-01 1.046558869217834342e+02
5.165828604068160024e-01 1.038178654116562427e+02
5.169134536158490612e-01 1.029832846527203856e+02
5.172442583918502867e-01 1.021521338427440924e+02
5.175752748702153738e-01 1.013244037466163832e+02
5.179065031864249491e-01 1.005000823016915206e+02
5.182379434760479020e-01 9.967915824146737691e+01
5.185695958747380541e-01 9.886162021738451244e+01
5.189014605182381557e-01 9.804745760676583188e+01
5.192335375423756672e-01 9.723666118160906535e+01
5.195658270830673109e-01 9.642921933344770480e+01
5.198983292763141861e-01 9.562512082586005135e+01
5.202310442582069872e-01 9.482435440640024638e+01
5.205639721649211182e-01 9.402690958519599462e+01
5.208971131327214676e-01 9.323277730465508739e+01
5.212304672979577447e-01 9.244194604663081805e+01
5.215640347970693647e-01 9.165440481937362449e+01
5.218978157665807860e-01 9.087014269464330596e+01
5.222318103431056180e-01 9.008914899496758721e+01
5.225660186633432902e-01 8.931141509653934918e+01
5.229004408640828272e-01 8.853692948996040002e+01
5.232350770821981856e-01 8.776568137860758156e+01
5.235699274546530280e-01 8.699765983090794919e+01
5.239049921184982805e-01 8.623285448167011680e+01
5.242402712108712448e-01 8.547125682971341121e+01
5.245757648689988173e-01 8.471285555180998017e+01
5.249114732301941588e-01 8.395763998498392766e+01
5.252473964318596922e-01 8.320559935152161302e+01
5.255835346114843265e-01 8.245672332519748693e+01
5.259198879066464549e-01 8.171100355214508681e+01
5.262564564550108459e-01 8.096842894550451319e+01
5.265932403943324180e-01 8.022898904131072584e+01
5.269302398624520212e-01 7.949267313987451189e+01
5.272674549973008773e-01 7.875947104073286198e+01
5.276048859368962507e-01 7.802937454868440170e+01
5.279425328193461109e-01 7.730237273017655752e+01
5.282803957828444696e-01 7.657845521531901056e+01
5.286184749656760440e-01 7.585761150258527152e+01
5.289567705062115932e-01 7.513983156566919774e+01
5.292952825429131369e-01 7.442510733169245896e+01
5.296340112143286261e-01 7.371342797020059834e+01
5.299729566590971608e-01 7.300478323881964116e+01
5.303121190159442166e-01 7.229916294793916620e+01
5.306514984236863075e-01 7.159655699749471580e+01
5.309910950212265446e-01 7.089695752451086719e+01
5.313309089475594105e-01 7.020035379084643523e+01
5.316709403417655411e-01 6.950673592001598422e+01
5.320111893430167216e-01 6.881609351367862359e+01
5.323516560905736661e-01 6.812841681090885970e+01
5.326923407237846853e-01 6.744369803995269308e+01
5.330332433820891280e-01 6.676192681646398341e+01
5.333743642050136069e-01 6.608309330549741389e+01
5.337157033321763278e-01 6.540718723159649528e+01
5.340572609032825380e-01 6.473419877127091127e+01
5.343990370581289673e-01 6.406412035924248016e+01
5.347410319365997200e-01 6.339694166501058703e+01
5.350832456786707159e-01 6.273265311010632672e+01
5.354256784244051381e-01 6.207124458941750333e+01
5.357683303139579856e-01 6.141270651507225864e+01
5.361112014875718534e-01 6.075703146428529067e+01
5.364542920855811525e-01 6.010420916706013372e+01
5.367976022484080012e-01 5.945423008996166914e+01
5.371411321165666664e-01 5.880708430865537650e+01
5.374848818306587894e-01 5.816276222325176093e+01
5.378288515313787155e-01 5.752125669718166989e+01
5.381730413595081641e-01 5.688255775522851820e+01
5.385174514559212255e-01 5.624665597323540567e+01
5.388620819615803637e-01 5.561354150179360545e+01
5.392069330175399688e-01 5.498320474203468677e+01
5.395520047649425832e-01 5.435563851091180254e+01
5.398972973450230084e-01 5.373083302459178867e+01
5.402428108991059741e-01 5.310877911793596695e+01
5.405885455686055829e-01 5.248946709908010178e+01
5.409345014950280861e-01 5.187288767482078811e+01
5.412806788199684416e-01 5.125903378573619307e+01
5.416270776851141999e-01 5.064789566874620164e+01
5.419736982322415075e-01 5.003946440401151108e+01
5.423205406032194364e-01 4.943373025212970617e+01
5.426676049400057655e-01 4.883068377883644473e+01
5.430148913846510883e-01 4.823031834929570039e+01
5.433624000792948161e-01 4.763262441833251160e+01
5.437101311661695080e-01 4.703759303192032348e+01
5.440580847875965409e-01 4.644521461182027622e+01
5.444062610859906615e-01 4.585547994850551845e+01
5.447546602038555452e-01 4.526838246804398125e+01
5.451032822837880154e-01 4.468391272457088803e+01
5.454521274684741572e-01 4.410206186990153299e+01
5.458011959006937586e-01 4.352282059951346582e+01
5.461504877233154254e-01 4.294617974683838213e+01
5.465000030793014663e-01 4.237213272606392422e+01
5.468497421117037849e-01 4.180067042104695929e+01
5.471997049636675436e-01 4.123178405561230875e+01
5.475498917784277220e-01 4.066546436223073613e+01
5.479003026993124470e-01 4.010170240298960209e+01
5.482509378697416613e-01 3.954049160712564515e+01
5.486017974332252356e-01 3.898182297324883905e+01
5.489528815333672984e-01 3.842568809362039417e+01
5.493041903138616844e-01 3.787207758188209539e+01
5.496557239184960419e-01 3.732098261283455543e+01
5.500074824911481697e-01 3.677239681562537044e+01
5.503594661757903461e-01 3.622631139829293545e+01
5.507116751164841117e-01 3.568271780072096533e+01
5.510641094573861531e-01 3.514160712919230889e+01
5.514167693427425299e-01 3.460297040367238708e+01
5.517696549168943365e-01 3.406680143913361292e+01
5.521227663242725958e-01 3.353309159483166013e+01
5.524761037094029215e-01 3.300183243594233318e+01
5.528296672169015213e-01 3.247301520951890552e+01
5.531834569914789723e-01 3.194663091488794748e+01
5.535374731779364454e-01 3.142267358501523233e+01
5.538917159211699248e-01 3.090113464095183815e+01
5.542461853661660998e-01 3.038200599508537891e+01
5.546008816580062506e-01 2.986527868225867621e+01
5.549558049418628070e-01 2.935094406260314770e+01
5.553109553630029005e-01 2.883899621248882283e+01
5.556663330667847012e-01 2.832942664318443349e+01
5.560219381986613030e-01 2.782222731441527230e+01
5.563777709041769493e-01 2.731738955072388819e+01
5.567338313289705853e-01 2.681490464698939036e+01
5.570901196187743043e-01 2.631476688284324439e+01
5.574466359194121257e-01 2.581696793741926399e+01
5.578033803768028820e-01 2.532149977379469874e+01
5.581603531369574434e-01 2.482835396563413610e+01
5.585175543459817149e-01 2.433752189162261459e+01
5.588749841500733062e-01 2.384899768602180359e+01
5.592326426955251950e-01 2.336277345168988973e+01
5.595905301287219524e-01 2.287884122927540886e+01
5.599486465961441839e-01 2.239719265077529542e+01
5.603069922443637552e-01 2.191781910899484842e+01
5.606655672200488993e-01 2.144071497569764517e+01
5.610243716699591099e-01 2.096587249449466128e+01
5.613834057409502476e-01 2.049328369068813060e+01
5.617426695799698777e-01 2.002294035935219085e+01
5.621021633340618218e-01 1.955483403283020039e+01
5.624618871503618278e-01 1.908895923775618542e+01
5.628218411761020112e-01 1.862530809172385204e+01
5.631820255586065249e-01 1.816387303302649059e+01
5.635424404452957781e-01 1.770464588494029101e+01
5.639030859836825504e-01 1.724761821199453493e+01
5.642639623213763223e-01 1.679278464768505330e+01
5.646250696060786112e-01 1.634013744640682830e+01
5.649864079855870802e-01 1.588966906079870967e+01
5.653479776077942054e-01 1.544137158765383333e+01
5.657097786206853884e-01 1.499523667189276921e+01
5.660718111723429535e-01 1.455125909460689115e+01
5.664340754109413734e-01 1.410943104838951001e+01
5.667965714847528202e-01 1.366974536412358532e+01
5.671592995421417260e-01 1.323219376732021146e+01
5.675222597315697781e-01 1.279676824996505502e+01
5.678854522015915895e-01 1.236346388632156845e+01
5.682488771008588069e-01 1.193227288988524037e+01
5.686125345781160023e-01 1.150318850410013738e+01
5.689764247822054477e-01 1.107620206323868217e+01
5.693405478620623406e-01 1.065130562440317874e+01
5.697049039667193560e-01 1.022849473418280297e+01
5.700694932453019836e-01 9.807760900711002705e+00
5.704343158470340791e-01 9.389098426521798046e+00
5.707993719212320904e-01 8.972498744736185472e+00
