# dimensionless COSEBI weights for En in Real space
# lowest theta boundary = 0.0001454441043328608
# highest theta boundary = 0.0001454441043328608
# number of COSEBI modes = 6
# theta[arcmin]      T_+(theta)
5.000000000000001110e-01 -1.260820014030801559e+02
5.003199808146676641e-01 -1.259451937610723604e+02
5.006401664047791522e-01 -1.258084877204017431e+02
5.009605569013820814e-01 -1.256718832295677686e+02
5.012811524356098891e-01 -1.255353802370853202e+02
5.016019531386775032e-01 -1.253989786914866471e+02
5.019229591418863379e-01 -1.252626785413192181e+02
5.022441705766194087e-01 -1.251264797351478393e+02
5.025655875743462175e-01 -1.249903822215525793e+02
5.028872102666178678e-01 -1.248543859491308865e+02
5.032090387850723934e-01 -1.247184908664953440e+02
5.035310732614295404e-01 -1.245826969222758862e+02
5.038533138274952083e-01 -1.244470040651179801e+02
5.041757606151581195e-01 -1.243114122436839892e+02
5.044984137563931492e-01 -1.241759214066518240e+02
5.048212733832576626e-01 -1.240405315027165472e+02
5.051443396278955111e-01 -1.239052424805886119e+02
5.054676126225331467e-01 -1.237700542889956239e+02
5.057910924994836188e-01 -1.236349668766806076e+02
5.061147793911427994e-01 -1.234999801924036120e+02
5.064386734299930470e-01 -1.233650941849402898e+02
5.067627747485995426e-01 -1.232303088030833038e+02
5.070870834796145088e-01 -1.230956239956407074e+02
5.074115997557729907e-01 -1.229610397114376497e+02
5.077363237098961868e-01 -1.228265558993150677e+02
5.080612554748905607e-01 -1.226921725081300139e+02
5.083863951837462869e-01 -1.225578894867563804e+02
5.087117429695404702e-01 -1.224237067840835209e+02
5.090372989654330382e-01 -1.222896243490180410e+02
5.093630633046718481e-01 -1.221556421304816666e+02
5.096890361205873576e-01 -1.220217600774134468e+02
5.100152175465978432e-01 -1.218879781387676786e+02
5.103416077162046260e-01 -1.217542962635158261e+02
5.106682067629967348e-01 -1.216207144006446867e+02
5.109950148206463538e-01 -1.214872324991582246e+02
5.113220320229135973e-01 -1.213538505080757091e+02
5.116492585036418461e-01 -1.212205683764335191e+02
5.119766943967624107e-01 -1.210873860532833817e+02
5.123043398362902012e-01 -1.209543034876941050e+02
5.126321949563277247e-01 -1.208213206287499730e+02
5.129602598910615319e-01 -1.206884374255521948e+02
5.132885347747662141e-01 -1.205556538272173270e+02
5.136170197417996297e-01 -1.204229697828792212e+02
5.139457149266083436e-01 -1.202903852416868347e+02
5.142746204637225205e-01 -1.201579001528063486e+02
5.146037364877606990e-01 -1.200255144654191781e+02
5.149330631334252395e-01 -1.198932281287239476e+02
5.152626005355072092e-01 -1.197610410919344019e+02
5.155923488288812750e-01 -1.196289533042816231e+02
5.159223081485104778e-01 -1.194969647150120267e+02
5.162524786294441226e-01 -1.193650752733882854e+02
5.165828604068160024e-01 -1.192332849286900256e+02
5.169134536158490612e-01 -1.191015936302119940e+02
5.172442583918502867e-01 -1.189700013272661323e+02
5.175752748702153738e-01 -1.188385079691797159e+02
5.179065031864249491e-01 -1.187071135052969026e+02
5.182379434760479020e-01 -1.185758178849773969e+02
5.185695958747380541e-01 -1.184446210575978000e+02
5.189014605182381557e-01 -1.183135229725500608e+02
5.192335375423756672e-01 -1.181825235792431528e+02
5.195658270830673109e-01 -1.180516228271012835e+02
5.198983292763141861e-01 -1.179208206655658842e+02
5.202310442582069872e-01 -1.177901170440935346e+02
5.205639721649211182e-01 -1.176595119121578819e+02
5.208971131327214676e-01 -1.175290052192478782e+02
5.212304672979577447e-01 -1.173985969148694863e+02
5.215640347970693647e-01 -1.172682869485439596e+02
5.218978157665807860e-01 -1.171380752698095051e+02
5.222318103431056180e-01 -1.170079618282198624e+02
5.225660186633432902e-01 -1.168779465733454970e+02
5.229004408640828272e-01 -1.167480294547721940e+02
5.232350770821981856e-01 -1.166182104221029334e+02
5.235699274546530280e-01 -1.164884894249559864e+02
5.239049921184982805e-01 -1.163588664129659378e+02
5.242402712108712448e-01 -1.162293413357839853e+02
5.245757648689988173e-01 -1.160999141430768020e+02
5.249114732301941588e-01 -1.159705847845277447e+02
5.252473964318596922e-01 -1.158413532098357877e+02
5.255835346114843265e-01 -1.157122193687166032e+02
5.259198879066464549e-01 -1.155831832109013675e+02
5.262564564550108459e-01 -1.154542446861380682e+02
5.265932403943324180e-01 -1.153254037441899982e+02
5.269302398624520212e-01 -1.151966603348374178e+02
5.272674549973008773e-01 -1.150680144078759071e+02
5.276048859368962507e-01 -1.149394659131179424e+02
5.279425328193461109e-01 -1.148110148003912911e+02
5.282803957828444696e-01 -1.146826610195406317e+02
5.286184749656760440e-01 -1.145544045204259476e+02
5.289567705062115932e-01 -1.144262452529242182e+02
5.292952825429131369e-01 -1.142981831669275152e+02
5.296340112143286261e-01 -1.141702182123450342e+02
5.299729566590971608e-01 -1.140423503391010769e+02
5.303121190159442166e-01 -1.139145794971369696e+02
5.306514984236863075e-01 -1.137869056364092586e+02
5.309910950212265446e-01 -1.136593287068914293e+02
5.313309089475594105e-01 -1.135318486585721018e+02
5.316709403417655411e-01 -1.134044654414570488e+02
5.320111893430167216e-01 -1.132771790055672909e+02
5.323516560905736661e-01 -1.131499893009400211e+02
5.326923407237846853e-01 -1.130228962776290302e+02
5.330332433820891280e-01 -1.128958998857035141e+02
5.333743642050136069e-01 -1.127690000752494797e+02
5.337157033321763278e-01 -1.126421967963681112e+02
5.340572609032825380e-01 -1.125154899991775466e+02
5.343990370581289673e-01 -1.123888796338112002e+02
5.347410319365997200e-01 -1.122623656504193264e+02
5.350832456786707159e-01 -1.121359479991673851e+02
5.354256784244051381e-01 -1.120096266302377614e+02
5.357683303139579856e-01 -1.118834014938280603e+02
5.361112014875718534e-01 -1.117572725401527265e+02
5.364542920855811525e-01 -1.116312397194414814e+02
5.367976022484080012e-01 -1.115053029819408863e+02
5.371411321165666664e-01 -1.113794622779126939e+02
5.374848818306587894e-01 -1.112537175576356248e+02
5.378288515313787155e-01 -1.111280687714034343e+02
5.381730413595081641e-01 -1.110025158695269170e+02
5.385174514559212255e-01 -1.108770588023320443e+02
5.388620819615803637e-01 -1.107516975201614571e+02
5.392069330175399688e-01 -1.106264319733732435e+02
5.395520047649425832e-01 -1.105012621123422321e+02
5.398972973450230084e-01 -1.103761878874586131e+02
5.402428108991059741e-01 -1.102512092491287348e+02
5.405885455686055829e-01 -1.101263261477753872e+02
5.409345014950280861e-01 -1.100015385338367508e+02
5.412806788199684416e-01 -1.098768463577676755e+02
5.416270776851141999e-01 -1.097522495700383303e+02
5.419736982322415075e-01 -1.096277481211356672e+02
5.423205406032194364e-01 -1.095033419615617873e+02
5.426676049400057655e-01 -1.093790310418356029e+02
5.430148913846510883e-01 -1.092548153124913028e+02
5.433624000792948161e-01 -1.091306947240798024e+02
5.437101311661695080e-01 -1.090066692271672508e+02
5.440580847875965409e-01 -1.088827387723365945e+02
5.444062610859906615e-01 -1.087589033101859286e+02
