# z_bin_left n_of_z
0.200 1.466
0.210 1.972
0.220 1.956
0.230 1.820
0.240 1.723
0.250 2.057
0.260 2.012
0.270 2.045
0.280 2.465
0.290 2.547
0.300 2.703
0.310 3.282
0.320 3.255
0.330 2.585
0.340 3.106
0.350 3.134
0.360 2.928
0.370 2.896
0.380 3.210
0.390 3.168
0.400 3.102
0.410 2.976
0.420 3.187
0.430 3.367
0.440 4.680
0.450 5.442
0.460 6.134
0.470 6.884
0.480 6.980
0.490 6.967
0.500 0
0.510 0
0.520 0
0.530 0
0.540 0
0.550 0
0.560 0
0.570 0
0.580 0
0.590 0
0.600 0
0.610 0
0.620 0
0.630 0
0.640 0
0.650 0
0.660 0
0.670 0
0.680 0
0.690 0
0.700 0
0.710 0
0.720 0
0.730 0
0.740 0
