# binstart, density
0.000000000000000000e+00 3.751955115441554388e-04
1.000000000000000021e-02 8.938818566563492803e-04
2.000000000000000042e-02 1.883672284022968853e-03
2.999999999999999889e-02 3.574766430943215195e-03
4.000000000000000083e-02 6.168244504949934974e-03
5.000000000000000278e-02 9.729637971150860432e-03
5.999999999999999778e-02 1.410886678646409466e-02
7.000000000000000666e-02 1.895454431626492076e-02
8.000000000000000167e-02 2.382197821315222216e-02
8.999999999999999667e-02 2.829290939211122693e-02
1.000000000000000056e-01 3.202908229965231030e-02
1.100000000000000006e-01 3.479485031120291977e-02
1.199999999999999956e-01 3.651107975814684575e-02
1.300000000000000044e-01 3.727697659582673850e-02
1.400000000000000133e-01 3.729605857197351021e-02
1.499999999999999944e-01 3.678685222033405144e-02
1.600000000000000033e-01 3.597481734746425103e-02
1.700000000000000122e-01 3.514427244124947863e-02
1.799999999999999933e-01 3.460507457145096943e-02
1.900000000000000022e-01 3.451059903910378562e-02
2.000000000000000111e-01 3.474914548003651960e-02
2.099999999999999922e-01 3.506256039275889441e-02
2.200000000000000011e-01 3.522663591593122590e-02
2.300000000000000100e-01 3.512003537237989165e-02
2.399999999999999911e-01 3.465334685374587415e-02
2.500000000000000000e-01 3.367887568880254673e-02
2.600000000000000089e-01 3.205606923301919375e-02
2.700000000000000178e-01 2.981085231984668266e-02
2.800000000000000266e-01 2.716231305891102232e-02
2.899999999999999800e-01 2.439104344372383659e-02
2.999999999999999889e-01 2.172147724128659085e-02
3.099999999999999978e-01 1.929513950713122525e-02
3.200000000000000067e-01 1.718919075104621830e-02
3.300000000000000155e-01 1.547122428025731605e-02
3.400000000000000244e-01 1.422494798006893393e-02
3.500000000000000333e-01 1.348332530737839791e-02
3.599999999999999867e-01 1.317849860370166361e-02
3.699999999999999956e-01 1.314924714039580889e-02
3.800000000000000044e-01 1.306613405856293410e-02
3.900000000000000133e-01 1.250951367370444975e-02
4.000000000000000222e-01 1.131612316428890104e-02
4.100000000000000311e-01 9.656930662647023392e-03
4.199999999999999845e-01 7.812045790536690029e-03
4.299999999999999933e-01 6.072912269276019639e-03
4.400000000000000022e-01 4.688662035772899091e-03
4.500000000000000111e-01 3.739413375597658469e-03
4.600000000000000200e-01 3.122598357644895770e-03
4.700000000000000289e-01 2.679861631557632975e-03
4.799999999999999822e-01 2.308012710129765666e-03
4.899999999999999911e-01 1.974244167662579999e-03
5.000000000000000000e-01 1.675984824032875509e-03
5.100000000000000089e-01 1.425697075211124079e-03
5.200000000000000178e-01 1.223967741741067506e-03
5.300000000000000266e-01 1.040398380470614970e-03
5.400000000000000355e-01 8.389413413219072102e-04
5.500000000000000444e-01 6.258531232060267607e-04
5.600000000000000533e-01 4.448556890641959700e-04
5.700000000000000622e-01 3.226901589308501855e-04
5.799999999999999600e-01 2.468646158701087766e-04
5.899999999999999689e-01 1.986397399675768165e-04
5.999999999999999778e-01 1.688260142099743560e-04
6.099999999999999867e-01 1.429219542272087875e-04
6.199999999999999956e-01 1.103315288061152680e-04
6.300000000000000044e-01 7.632974465131288193e-05
6.400000000000000133e-01 5.191177598346439993e-05
6.500000000000000222e-01 3.663068209423248203e-05
6.600000000000000311e-01 2.573753809145798549e-05
6.700000000000000400e-01 1.815943138294976095e-05
6.800000000000000488e-01 1.130075628180805460e-05
6.900000000000000577e-01 6.090683292879115100e-06
7.000000000000000666e-01 2.975105557348157057e-06
7.099999999999999645e-01 9.749002272124035213e-07
7.199999999999999734e-01 1.633449509623555981e-07
7.299999999999999822e-01 1.253331954791004273e-08
7.399999999999999911e-01 4.196335290049173215e-10
7.500000000000000000e-01 5.969943355790347713e-12
7.600000000000000089e-01 3.554131889795019705e-14
7.700000000000000178e-01 8.779439049273551654e-17
7.800000000000000266e-01 8.957210522694384934e-20
7.900000000000000355e-01 3.765202140889314628e-23
8.000000000000000444e-01 6.512532294033838665e-27
8.100000000000000533e-01 4.631892530626523304e-31
8.200000000000000622e-01 1.354111491788550599e-35
8.300000000000000711e-01 1.626866504164659988e-40
8.399999999999999689e-01 8.031643657110601954e-46
8.499999999999999778e-01 1.629245481523975850e-51
8.599999999999999867e-01 1.357951194877457469e-57
8.699999999999999956e-01 4.650391623012539794e-64
8.800000000000000044e-01 6.543321144500633788e-71
8.900000000000000133e-01 3.782751402369862680e-78
9.000000000000000222e-01 8.984973547464496323e-86
9.100000000000000311e-01 8.768482174108262405e-94
9.200000000000000400e-01 3.515848779457442724e-102
9.300000000000000488e-01 5.792070189859800639e-111
9.400000000000000577e-01 3.920443013082900260e-120
9.500000000000000666e-01 1.090270038078525779e-129
9.599999999999999645e-01 1.245749017027156176e-139
9.699999999999999734e-01 5.848231254402806023e-150
9.799999999999999822e-01 1.128017944676598222e-160
9.899999999999999911e-01 8.939329657948781720e-172
